title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,Ground Clearance,Seating Capacity,Drive Type,Length,No. of Airbags,Boot Space,Range,Battery Capacity,Charging Time DC,Charging Time AC,Global NCAP Safety Rating,Top Speed
2020 Hyundai Venue SX Plus Turbo DCT,₹8.16 Lakh,"Kandivali East, Mumbai",Feb 2020,Comprehensive,Petrol,5 Seats,"63,833 Kms",Navi Mumbai,First Owner,998 cc,Automatic,2020,998 cc,118.35 bhp,18.15 kmpl,Petrol,,,FWD,,,,,,,,,
2010 Hyundai i20 1.2 Sportz,₹2.85 Lakh,"Andheri East, Mumbai",Jan 2011,Expired,Petrol,5 Seats,"63,000 Kms",Mumbai,First Owner,1197 cc,Manual,2010,1197 cc,,17 kmpl,Petrol,,,,3940 mm,,,,,,,,
2020 BMW 5 Series 520d Luxury Line,₹48.50 Lakh,"Kandivali West, Mumbai",Mar 2020,Comprehensive,Diesel,5 Seats,"12,000 Kms",Mumbai,First Owner,1995 cc,Automatic,2020,1995 cc,187.74 bhp,,Diesel,,,RWD,,,,,,,,,235 kmph
2015 Hyundai Grand i10 AT Asta,₹4 Lakh,"Malad, Mumbai",Jul 2015,Comprehensive,Petrol,5 Seats,"46,000 Kms",Mumbai,First Owner,1197 cc,Automatic,2015,1197 cc,82 bhp,18.9 kmpl,Petrol,,,,3765mm,,,,,,,,
2022 Tata Tiago NRG XZ,₹6.22 Lakh,"Dadar, Mumbai",Dec 2022,Expired,Petrol,5 Seats,"46,156 Kms",Mumbai,First Owner,1199 cc,Manual,2022,1199 cc,84.82 bhp,20.09 kmpl,Petrol,,,,,,242 Litres,,,,,4 Star,
2019 Hyundai Venue SX Plus Turbo DCT BSIV,₹8.60 Lakh,"Antop Hill, Mumbai",Dec 2019,Expired,Petrol,5 Seats,"64,000 Kms",Mumbai,First Owner,998 cc,Automatic,2019,998 cc,118.35 bhp,18.15 kmpl,Petrol,,,FWD,,,,,,,,,
2023 Hyundai Tucson Signature Diesel 4WD AT,₹30.99 Lakh,"Andheri West, Mumbai",Aug 2023,Expired,Diesel,5 Seats,"24,000 Kms",Mumbai,First Owner,1997 cc,Automatic,2023,1997 cc,183.72 bhp,14 kmpl,Diesel,,5,4WD,,,,,,,,,
2018 Hyundai Creta 1.4 E Plus CRDi,₹8.45 Lakh,"Ghatkopar East, Mumbai",Nov 2018,Expired,Diesel,5 Seats,"71,000 Kms",Thane,Second Owner,1396 cc,Manual,2018,1396 cc,88.7 bhp,22.1 kmpl,Diesel,,,FWD,,,,,,,,,
2010 Maruti A-Star Vxi,₹1.99 Lakh,"Khar Colony, Mumbai",Sept 2010,Expired,Petrol,5 Seats,"57,004 Kms",Mumbai,First Owner,998 cc,Manual,2010,998 cc,66.1 bhp,19 kmpl,Petrol,,,,3500mm,,,,,,,,
2020 Toyota Innova Crysta 2.4 G MT,₹18.50 Lakh,"West, Thane",Feb 2020,Comprehensive,Diesel,7 Seats,"1,34,137 Kms",Navi Mumbai,First Owner,2393 cc,Manual,2020,2393 cc,147.51 bhp,,Diesel,,7,,,3,,,,,,,
