title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Ground Clearance,Power,Mileage,Fuel,Drive Type,Seating Capacity,No. of Airbags,Length,Global NCAP Safety Rating,Top Speed,Boot Space,Range,Battery Capacity,Charging Time DC,Charging Time AC
2021 Tata Nexon XZ Plus S 2020-2022,₹7.40 Lakh,"Thathawade, Pune",Jul 2021,Comprehensive,Petrol,5 Seats,"53,732 Kms",Thane,Second Owner,1199 cc,Manual,2021,1199 cc,209,118.36 bhp,17.57 kmpl,Petrol,,,,,,,,,,,
2016 Hyundai Creta 1.6 VTVT SX Plus,₹8.17 Lakh,Pune,2016,Expired,Petrol,5 Seats,"60,000 Kms",Navi Mumbai,Third Owner,1591 cc,Manual,2016,1591 cc,190mm,121.3 bhp,13 kmpl,,FWD,,,,,,,,,,
2017 Maruti S Cross DDiS 200 Alpha,₹5.50 Lakh,Pune,2017,Expired,Diesel,5 Seats,"1,00,000 Kms",Dhule,First Owner,1248 cc,Manual,2017,1248 cc,180mm,88.5 bhp,23.65 kmpl,,FWD,,,,,,,,,,
2021 Kia Sonet GTX Plus Diesel AT,₹11.40 Lakh,"Hadapsar, Pune",Feb 2021,Comprehensive,Diesel,5 Seats,"26,033 Kms",Pune,Second Owner,1493 cc,Automatic,2021,1493 cc,,114.41 bhp,,Diesel,2WD,5,6,,,,,,,,
2016 Mahindra XUV500 W8 2WD,₹9.99 Lakh,"Kasarwadi, Pune",Apr 2016,Comprehensive,Diesel,7 Seats,"42,000 Kms",Pimpri chinchwad,First Owner,2179 cc,Manual,2016,,,,,,,,,,,,,,,,
2011 Hyundai Santro Xing GL Plus,₹2.05 Lakh,Pune,2011,Expired,Petrol,5 Seats,"66,000 Kms",,First Owner,1086 cc,Manual,2011,1086 cc,,62.1 bhp,17.92 kmpl,Petrol,,,,3565mm,,,,,,,
2012 Honda City S,₹3.09 Lakh,"Pimple Saudagar, Pune",Apr 2012,Third Party,Petrol,5 Seats,"47,000 Kms",Mumbai,Second Owner,1497 cc,Manual,2012,1497 cc,,116.4 bhp,16.8 kmpl,Petrol,,,,,,,,,,,
2023 Tata Nexon Creative Plus AMT,₹10 Lakh,Pune,2023,Expired,Petrol,5 Seats,"10,000 Kms",Pimpri chinchwad,First Owner,1199 cc,Automatic,2023,,,,,,,,,,,,,,,,
2012 Honda Brio E MT,₹1.95 Lakh,"Aundh, Pune",Dec 2012,Comprehensive,Petrol,5 Seats,"65,000 Kms",Pune,Second Owner,1198 cc,Manual,2012,1198 cc,,86.8 bhp,19.4 kmpl,Petrol,,,,3610mm,,,,,,,
2015 Hyundai Xcent 1.2 Kappa Base,₹3.25 Lakh,"Kothrud, Pune",Dec 2015,Expired,Petrol,5 Seats,"94,000 Kms",Pimpri chinchwad,First Owner,1197 cc,Manual,2015,1197 cc,,82 bhp,19.1 kmpl,Petrol,,,,,,,,,,,
2013 Hyundai i10 Sportz AT,₹3.50 Lakh,"Wakad, Pune",Feb 2013,Third Party,Petrol,5 Seats,"48,000 Kms",Mumbai,Second Owner,1197 cc,Automatic,2013,1197 cc,,78.9 bhp,16.95 kmpl,Petrol,,,,3585mm,,,,,,,
2016 Hyundai EON Era,₹2.91 Lakh,"Wakad, Pune",Feb 2017,Comprehensive,Petrol,5 Seats,"16,156 Kms",Kolhapur,First Owner,814 cc,Manual,2016,814 cc,,55.2 bhp,21.1 kmpl,Petrol,,,,3495mm,,,,,,,
2022 Tata Punch Creative Plus,₹7.68 Lakh,"Hadapsar, Pune",Oct 2022,Comprehensive,Petrol,5 Seats,"19,288 Kms",Pune,First Owner,1199 cc,Manual,2022,1199 cc,187 mm,87 bhp,20.09 kmpl,,FWD,,,,5 Star,,,,,,
2013 Hyundai i20 Sportz 1.4 CRDi,₹3.85 Lakh,"Kothrud, Pune",Apr 2013,Expired,Diesel,5 Seats,"91,000 Kms",Pune,First Owner,1396 cc,Manual,2013,1396 cc,,88.76 bhp,21.9 kmpl,Diesel,,,,3995mm,,,,,,,
2022 Tata Punch Accomplished Dazzle BSVI,₹7.25 Lakh,"Chinchwadgaon, Pune",Oct 2022,Expired,Petrol,5 Seats,"51,000 Kms",Pimpri chinchwad,First Owner,1199 cc,Manual,2022,1199 cc,,86.63 bhp,20.09 kmpl,Petrol,,,2,,,,,,,,
2019 Volkswagen Polo 1.0 MPI Comfortline BSIV,₹5.70 Lakh,"Hadapsar, Pune",Nov 2019,Comprehensive,Petrol,5 Seats,"58,000 Kms",Pimpri chinchwad,First Owner,999 cc,Manual,2019,999 cc,,75 bhp,18.78 kmpl,Petrol,,,,3971mm,,,,,,,
2019 Maruti Baleno 1.2 CVT Delta,₹5 Lakh,Pune,2019,Expired,Petrol,5 Seats,"50,000 Kms",Pimpri chinchwad,First Owner,1197 cc,Automatic,2019,1197 cc,,83.1 bhp,21.4 kmpl,Petrol,,,,3995mm,,,,,,,
2023 Kia Seltos GTX Plus Turbo DCT,₹16.35 Lakh,"Thathawade, Pune",Apr 2023,Comprehensive,Petrol,5 Seats,"6,501 Kms",Pimpri chinchwad,First Owner,1482 cc,Automatic,2023,,,,,,,,,,,,,,,,
2015 Hyundai Grand i10 1.2 Kappa Magna BSIV,₹3.68 Lakh,"Wakad, Pune",Feb 2016,Expired,Petrol,5 Seats,"53,970 Kms",Pimpri chinchwad,First Owner,1197 cc,Manual,2015,1197 cc,,81.86 bhp,18.9 kmpl,Petrol,,,2,,,,,,,,
2018 Hyundai Creta N Line N8,₹10.50 Lakh,"Pashan, Pune",Jul 2018,Expired,Petrol,5 Seats,"1,23,000 Kms",Pimpri chinchwad,First Owner,1482 cc,Manual,2018,,,,,,,,,,,,,,,,
2014 Hyundai Grand i10 1.2 Kappa Asta,₹4.53 Lakh,"Hadapsar, Pune",May 2014,Comprehensive,Petrol,5 Seats,"42,725 Kms",Pune,First Owner,1197 cc,Manual,2014,1197 cc,,81.86 bhp,18.9 kmpl,Petrol,,,2,,,,,,,,
2017 Volkswagen Vento 1.2 TSI Highline Plus AT,₹8.30 Lakh,"Hadapsar, Pune",Jun 2018,Comprehensive,Petrol,5 Seats,"60,000 Kms",Pimpri chinchwad,First Owner,1197 cc,Automatic,2017,1197 cc,,103.2 bhp,18.19 kmpl,Petrol,,,,,,,,,,,
2016 Hyundai Grand i10 Asta Option,₹4.65 Lakh,"Aundh, Pune",Aug 2016,Comprehensive,Petrol,5 Seats,"86,000 Kms",Pune,First Owner,1197 cc,Manual,2016,1197 cc,,82 bhp,18.9 kmpl,Petrol,,,,3765mm,,,,,,,
2016 Honda Amaze VX i-VTEC,₹4.37 Lakh,"Wakad, Pune",Jan 2016,Comprehensive,Petrol,5 Seats,"1,07,800 Kms",bhandara,First Owner,1198 cc,Manual,2016,1198 cc,,86.7 bhp,17.8 kmpl,Petrol,,,,,,,,,,,
2017 Maruti Ciaz AT ZXi,₹5 Lakh,Pune,2017,Expired,Petrol,5 Seats,"80,000 Kms",Pune,First Owner,1373 cc,Automatic,2017,,,,,,,,,,,,,,,,
2019 Tata Nexon 1.2 Revotron XZ,₹5.50 Lakh,Pune,2019,Expired,Petrol,5 Seats,"40,000 Kms",Pune,Third Owner,1198 cc,Manual,2019,1198 cc,,108.5 bhp,17 kmpl,Petrol,FWD,,,,,,,,,,
2019 Mini Cooper Clubman Cooper S,₹26.50 Lakh,"Baner, Pune",Feb 2019,Expired,Petrol,5 Seats,"32,000 Kms",Mumbai,Second Owner,1998 cc,Automatic,2019,1998 cc,,192 bhp,13.79 kmpl,Petrol,,,2,,,,,,,,
2022 Hyundai i20 N-Line N8 iMT BSVI,₹8.50 Lakh,Pune,2022,Expired,Petrol,5 Seats,"50,000 Kms",Nashik,First Owner,998 cc,Manual,2022,998 cc,,118.41 bhp,20 kmpl,Petrol,,,6,,,,,,,,
2013 Chevrolet Beat LT,₹1.95 Lakh,"Dehu Road Cantt, Pune",Sept 2013,Third Party,Petrol,5 Seats,"72,720 Kms",Pimpri chinchwad,First Owner,1199 cc,Manual,2013,1199 cc,,79.4 bhp,18.6 kmpl,Petrol,,,,3640mm,,,,,,,
2013 Hyundai i20 Sportz Petrol,₹2.78 Lakh,"Hadapsar, Pune",Feb 2013,Comprehensive,Petrol,5 Seats,"55,888 Kms",Pune,Third Owner,1197 cc,Manual,2013,,,,,,,,,,,,,,,,
2014 BMW 3 Series GT 320d Luxury Line,₹18 Lakh,"R.s., Pune",Nov 2014,Expired,Diesel,5 Seats,"85,400 Kms",Pune,Second Owner,1995 cc,Automatic,2014,,,,,,,,,,,,,,,,
2015 Hyundai Creta 1.6 VTVT SX Plus,₹6.99 Lakh,"Balewadi, Pune",Oct 2015,Comprehensive,Petrol,5 Seats,"67,000 Kms",Pune,Second Owner,1591 cc,Manual,2015,1591 cc,190mm,121.3 bhp,13 kmpl,,FWD,,,,,,,,,,
2015 Hyundai Grand i10 Asta Option,₹4 Lakh,"Wakad, Pune",Aug 2015,Expired,Petrol,5 Seats,"75,254 Kms",Thane,First Owner,1197 cc,Manual,2015,,,,,,,,,,,,,,,,
2016 Maruti Celerio VXI AT,₹4.15 Lakh,"Pashan, Pune",Jun 2016,Expired,Petrol,5 Seats,"69,975 Kms",Pune,Second Owner,998 cc,Automatic,2016,998 cc,,67.04 bhp,23.1 kmpl,Petrol,,,,3715mm,,,,,,,
2010 Maruti SX4 ZXI MT BSIV,₹2.55 Lakh,"Hadapsar, Pune",Jun 2010,Third Party,Petrol,5 Seats,"1,07,000 Kms",Pune,Second Owner,1586 cc,Manual,2010,1586 cc,,103.3 bhp,15.5 kmpl,Petrol,,,,,,,,,,,
2016 Renault KWID 1.0 AMT RXT,₹2.67 Lakh,"Thathawade, Pune",Dec 2016,Expired,Petrol,5 Seats,"28,877 Kms",Pune,Second Owner,999 cc,Automatic,2016,999 cc,,67 bhp,24.04 kmpl,Petrol,,,1,,,,,,,,
2011 Maruti Wagon R LXI CNG,₹2.51 Lakh,"Wakad, Pune",Dec 2011,Comprehensive,CNG,5 Seats,"83,047 Kms",Pune,Second Owner,998 cc,Manual,2011,998 cc,,58.16 bhp,26.6 km/kg,CNG,,,,3599mm,,,,,,,
2019 Honda Amaze V CVT Diesel BSIV,₹6.45 Lakh,"Undri, Pune",Oct 2019,Comprehensive,Diesel,5 Seats,"91,750 Kms",Pimpri chinchwad,First Owner,1498 cc,Automatic,2019,1498 cc,,78.9 bhp,23.8 kmpl,Diesel,,,2,,,,,,,,
2012 Maruti Swift Dzire VDI,₹4.50 Lakh,"Sadashiv Peth, Pune",Oct 2012,Third Party,Diesel,5 Seats,"94,000 Kms",Pune,Second Owner,1248 cc,Manual,2012,1248 cc,,74 bhp,23.4 kmpl,Diesel,,,,,,,,,,,
2017 Maruti Alto K10 VXI,₹3.08 Lakh,"Wakad, Pune",Nov 2017,Comprehensive,Petrol,5 Seats,"49,786 Kms",Nagpur,First Owner,998 cc,Manual,2017,998 cc,,67.05 bhp,23.95 kmpl,Petrol,,,1,,,,,,,,
2019 Maruti Vitara Brezza ZDi AMT,₹8.50 Lakh,"Pashan, Pune",Jun 2019,Expired,Diesel,5 Seats,"1,29,000 Kms",Pimpri chinchwad,First Owner,1248 cc,Automatic,2019,1248 cc,198mm,88.5 bhp,24.3 kmpl,,FWD,,,,,,,,,,
2019 Maruti Celerio VXI Optional MT BSIV,₹4.08 Lakh,"Undri, Pune",May 2019,Comprehensive,Petrol,5 Seats,"30,879 Kms",Pune,First Owner,998 cc,Manual,2019,,,,,,,,,,,,,,,,
2018 Honda WR-V i-DTEC S,₹7.75 Lakh,"Kharadi, Pune",Sept 2018,Comprehensive,Diesel,5 Seats,"76,000 Kms",Pune,First Owner,1498 cc,Manual,2018,,,,,,,,,,,,,,,,
2019 Renault Triber RXL BSIV,₹4.95 Lakh,"Yerwada T.s., Pune",Dec 2019,Third Party,Petrol,7 Seats,"86,000 Kms",akluj,First Owner,999 cc,Manual,2019,,,,,,,,,,,,,,,,
2013 Renault Pulse Petrol RxZ,₹2.75 Lakh,"Yerwada, Pune",Oct 2013,Comprehensive,Petrol,5 Seats,"72,000 Kms",Thane,First Owner,1198 cc,Manual,2013,,,,,,,,,,,,,,,,
2013 Hyundai Grand i10 Sportz,₹3.45 Lakh,"Kothrud, Pune",Nov 2013,Expired,Petrol,5 Seats,"47,000 Kms",Pune,First Owner,1197 cc,Manual,2013,1197 cc,,82 bhp,18.9 kmpl,Petrol,,,,3765mm,,,,,,,
2011 Maruti Wagon R LXI,₹2.30 Lakh,"Hadapsar, Pune",Aug 2011,Third Party,Petrol,5 Seats,"91,000 Kms",Pimpri chinchwad,Third Owner,998 cc,Manual,2011,998 cc,,67.05 bhp,21.79 kmpl,Petrol,,,1,,,,,,,,
2017 BMW X1 sDrive20d Expedition,₹20.50 Lakh,"Baner, Pune",Jul 2017,Expired,Diesel,5 Seats,"64,500 Kms",panvel,Second Owner,1995 cc,Automatic,2017,1995 cc,,188 bhp,,Diesel,FWD,5,,,,222 kmph,,,,,
2014 Toyota Corolla Altis G MT,₹4.95 Lakh,"Devale, Pune",Nov 2014,Comprehensive,Petrol,5 Seats,"1,15,000 Kms",Pimpri chinchwad,Third Owner,1798 cc,Manual,2014,1798 cc,,138.03 bhp,14.28 kmpl,Petrol,,,,,,,,,,,
2017 Hyundai i20 Asta Option 1.2,₹5.65 Lakh,"Kothrud, Pune",Aug 2017,Expired,Petrol,5 Seats,"65,000 Kms",Pune,First Owner,1197 cc,Manual,2017,1197 cc,,81.83 bhp,18.6 kmpl,Petrol,,,,3985mm,,,,,,,
2016 BMW X1 sDrive 20d xLine,₹22 Lakh,"Pashan, Pune",Oct 2016,Expired,Diesel,5 Seats,"83,000 Kms",Mumbai,First Owner,1995 cc,Automatic,2016,1995 cc,179mm,188 bhp,20.68 kmpl,,FWD,5,,,,,,,,,
2018 Maruti Ciaz Delta Diesel,₹5.43 Lakh,"Wagholi, Pune",Mar 2018,Comprehensive,Diesel,5 Seats,"83,934 Kms",Pune,First Owner,1248 cc,Automatic,2018,1248 cc,,88.50 bhp,28.09 kmpl,Diesel,,,2,,,,,,,,
2014 Honda Amaze S i-VTEC,₹3.64 Lakh,"Hadapsar, Pune",Mar 2014,Comprehensive,Petrol,5 Seats,"81,068 Kms",Pune,First Owner,1198 cc,Manual,2014,1198 cc,,86.7 bhp,17.8 kmpl,Petrol,,,,,,,,,,,
2015 Maruti Baleno Alpha Diesel,₹4.86 Lakh,"Wakad, Pune",Jan 2016,Comprehensive,Diesel,5 Seats,"98,548 Kms",Pune,First Owner,1248 cc,Manual,2015,1248 cc,,74 bhp,27.39 kmpl,Diesel,,,2,,,,,,,,
2011 Hyundai i20 1.4 CRDi Sportz,₹3.20 Lakh,"Rahatani, Pune",Jul 2011,Comprehensive,Diesel,5 Seats,"69,000 Kms",Pune,First Owner,1396 cc,Manual,2011,1396 cc,,,23 kmpl,Diesel,,,,3940 mm,,,,,,,
2018 Honda WR-V i-VTEC VX,₹5.66 Lakh,"Thathawade, Pune",Mar 2018,Expired,Petrol,5 Seats,"61,176 Kms",Thane,Second Owner,1199 cc,Manual,2018,1199 cc,188mm,88.7 bhp,17.5 kmpl,,FWD,,,,,,,,,,
2016 Mahindra KUV 100 mFALCON G80 K6,₹3.49 Lakh,"Yerwada, Pune",Jul 2016,Comprehensive,Petrol,6 Seats,"13,000 Kms",Mumbai,First Owner,1198 cc,Manual,2016,1198 cc,170mm,82 bhp,18.15 kmpl,,FWD,,,,,,,,,,
2012 Renault Pulse RxL,₹2.20 Lakh,Pune,2012,Comprehensive,Diesel,5 Seats,"93,000 Kms",Navi Mumbai,Third Owner,1461 cc,Manual,2012,,,,,,,,,,,,,,,,
2018 Maruti Vitara Brezza ZDi Plus,₹8.30 Lakh,"Loni Kalbhor, Pune",Jul 2018,Expired,Diesel,5 Seats,"85,000 Kms",Pimpri chinchwad,First Owner,1248 cc,Manual,2018,1248 cc,198mm,88.5 bhp,24.3 kmpl,,FWD,,,,,,,,,,
2014 Hyundai EON Era Plus,₹2.10 Lakh,"Thathawade, Pune",Jan 2015,Expired,Petrol,5 Seats,"48,053 Kms",Pune,Second Owner,814 cc,Manual,2014,814 cc,,55.2 bhp,21.1 kmpl,Petrol,,,,3495mm,,,,,,,
2015 Hyundai i20 1.2 Anniversary Edition,₹5.35 Lakh,"Chinchwadgaon, Pune",Mar 2015,Comprehensive,Petrol,5 Seats,"58,000 Kms",Pune,First Owner,1197 cc,Manual,2015,1197 cc,,81.83 bhp,18.6 kmpl,Petrol,,,,3985mm,,,,,,,
2017 Hyundai Xcent 1.2 Kappa S,₹3.85 Lakh,"Kothrud, Pune",Oct 2017,Comprehensive,Petrol,5 Seats,"91,000 Kms",Pune,First Owner,1197 cc,Manual,2017,,,,,,,,,,,,,,,,
2013 Ford Figo Diesel ZXI,₹2.25 Lakh,"Hadapsar, Pune",Nov 2013,Comprehensive,Diesel,5 Seats,"75,936 Kms",Pimpri chinchwad,Third Owner,1399 cc,Manual,2013,1399 cc,,68.05 bhp,20 kmpl,Diesel,,,,3795mm,,,,,,,
2012 Hyundai i10 Sportz,₹2.75 Lakh,"Shaniwar Peth, Pune",Mar 2012,Third Party,Petrol,5 Seats,"35,600 Kms",Pune,First Owner,1197 cc,Manual,2012,1197 cc,,78.9 bhp,20.36 kmpl,Petrol,,,,3585mm,,,,,,,
2018 Honda City i-VTEC CVT VX,₹8.35 Lakh,"Kothrud, Pune",May 2018,Comprehensive,Petrol,5 Seats,"29,000 Kms",Pune,First Owner,1497 cc,Automatic,2018,1497 cc,,117.6 bhp,18 kmpl,Petrol,,,2,,,,,,,,
2021 Kia Seltos HTX G,₹12.51 Lakh,"Wakad, Pune",Oct 2021,Comprehensive,Petrol,5 Seats,"24,479 Kms",Pune,First Owner,1497 cc,Manual,2021,1497 cc,,113.43 bhp,16.8 kmpl,Petrol,FWD,5,,,,,,,,,
2017 Honda Amaze 2nd Gen S,₹4.68 Lakh,"Wakad, Pune",Jun 2017,Comprehensive,Petrol,5 Seats,"30,282 Kms",Pune,Second Owner,1199 cc,Manual,2017,1199 cc,,88.50 bhp,18.6 kmpl,Petrol,,,,,,,420 Litres,,,,
2011 Hyundai i10 Magna 1.1L,₹1.88 Lakh,"Chikhlee B.O, Pune",Aug 2011,Third Party,Petrol,5 Seats,"65,000 Kms",Mumbai,First Owner,1086 cc,Manual,2011,1086 cc,,68.05 bhp,19.81 kmpl,Petrol,,,,3585mm,,,,,,,
2014 Renault Duster RXL AWD,₹4.65 Lakh,"Thergaon, Pune",Aug 2014,Third Party,Diesel,5 Seats,"84,000 Kms",Pune,First Owner,1461 cc,Manual,2014,1461 cc,205mm,108.45 bhp,19.01 kmpl,,AWD,,,,,,,,,,
2013 Toyota Etios Liva G,₹3.30 Lakh,"Kothrud, Pune",Oct 2013,Comprehensive,Petrol,5 Seats,"61,000 Kms",Pune,First Owner,1197 cc,Manual,2013,1197 cc,,78.9 bhp,17.71 kmpl,Petrol,,,,3775mm,,,,,,,
2021 Maruti Alto 800 VXI BSVI,₹3.50 Lakh,"Thathawade, Pune",Mar 2021,Comprehensive,Petrol,5 Seats,"14,633 Kms",Pune,First Owner,796 cc,Manual,2021,796 cc,,47.33 bhp,22.05 kmpl,Petrol,,,2,,,,,,,,
2015 Honda City i VTEC V,₹4.99 Lakh,"Yerwada, Pune",Jul 2015,Comprehensive,Petrol,5 Seats,"52,000 Kms",Mumbai,First Owner,1497 cc,Manual,2015,1497 cc,,117.3 bhp,17.4 kmpl,Petrol,,,,,,,,,,,
2013 Audi A6 2.0 TDI,₹9.33 Lakh,Pune,2013,Expired,Diesel,5 Seats,"60,000 Kms",Mumbai,Third Owner,1968 cc,Automatic,2013,1968 cc,,174.33 bhp,,Diesel,FWD,5,,,,222 kmph,,,,,
2016 Hyundai Creta 1.4 CRDi S,₹8 Lakh,"Kothrud, Pune",Mar 2016,Expired,Diesel,5 Seats,"61,000 Kms",Pimpri chinchwad,First Owner,1396 cc,Manual,2016,1396 cc,190mm,88.7 bhp,21.38 kmpl,,FWD,,,,,,,,,,
2015 Ford Ecosport 1.5 Diesel Titanium,₹5.50 Lakh,"R P T S Khandala, Pune",Apr 2015,Comprehensive,Diesel,5 Seats,"93,000 Kms",Pimpri chinchwad,First Owner,1498 cc,Manual,2015,1498 cc,200mm,98.96 bhp,21.7 kmpl,,FWD,,,,,,,,,,
2015 Maruti Alto K10 VXI AMT,₹2.95 Lakh,"Kothrud, Pune",Jan 2016,Third Party,Petrol,5 Seats,"85,000 Kms",Pune,First Owner,998 cc,Automatic,2015,998 cc,,67.05 bhp,23.95 kmpl,Petrol,,,1,,,,,,,,
2018 Hyundai i20 1.2 Asta,₹5.05 Lakh,Pune,2018,Expired,Petrol,5 Seats,"40,000 Kms",Kolhapur,First Owner,1197 cc,Manual,2018,,,,,,,,,,,,,,,,
2013 Mercedes-Benz C-Class C 250 CDI Elegance,₹9.90 Lakh,"Bavdhan, Pune",Nov 2013,Third Party,Diesel,5 Seats,"1,37,000 Kms",Pimpri chinchwad,Third Owner,2143 cc,Automatic,2013,2143 cc,,204 bhp,,Diesel,RWD,5,,,,228km/hr kmph,,,,,
2014 Maruti Wagon R Stingray LXI,₹3.10 Lakh,"Bhosari I.e., Pune",Aug 2014,Third Party,Petrol,5 Seats,"90,000 Kms",Mumbai,Second Owner,998 cc,Manual,2014,,,,,,,,,,,,,,,,
2014 Renault Scala Diesel RxE,₹3.65 Lakh,"Dehu Road Cantt, Pune",Jun 2014,Comprehensive,Diesel,5 Seats,"87,538 Kms",Pune,First Owner,1461 cc,Manual,2014,1461 cc,,84.8 bhp,21.64 kmpl,Diesel,,,,,,,,,,,
2022 Maruti Baleno Delta Diesel,₹6.59 Lakh,"Wakad, Pune",Dec 2022,Comprehensive,Diesel,5 Seats,"13,076 Kms",Pimpri chinchwad,First Owner,1248 cc,Manual,2022,1248 cc,,74 bhp,27.39 kmpl,Diesel,,,2,,,,,,,,
2016 Maruti Wagon R AMT VXI,₹2.80 Lakh,Pune,2016,Expired,Petrol,5 Seats,"1,50,000 Kms",Pune,First Owner,998 cc,Automatic,2016,998 cc,,67 bhp,20.51 kmpl,Petrol,,,,3599mm,,,,,,,
2022 Volkswagen Taigun 1.5 TSI GT Plus BSVI,₹14 Lakh,Pune,2022,Expired,Petrol,5 Seats,"20,000 Kms",Mumbai,First Owner,1498 cc,Manual,2022,1498 cc,188,147.51 bhp,17.88 kmpl,Petrol,,5,,,,,,,,,
2013 Audi A4 2.0 TDI Premium Sport Limited Edition,₹7.99 Lakh,"Yerwada, Pune",Dec 2013,Comprehensive,Diesel,5 Seats,"75,000 Kms",Pen,Third Owner,1968 cc,Automatic,2013,1968 cc,,174.33 bhp,17.11 kmpl,Diesel,,,,,,,,,,,
2016 Tata Tiago 1.2 Revotron XZ,₹3.75 Lakh,"Kharadi, Pune",Jan 2017,Comprehensive,Petrol,5 Seats,"65,000 Kms",Aurangabad,First Owner,1199 cc,Manual,2016,1199 cc,,84 bhp,23.84 kmpl,Petrol,,,,3746mm,,,,,,,
2010 Ford Fiesta EXi 1.4 TDCi Ltd,₹1.35 Lakh,Pune,2010,Expired,Diesel,5 Seats,"1,50,000 Kms",Pune,First Owner,1399 cc,Manual,2010,1399 cc,,,17.8 kmpl,Diesel,,,,,,,,,,,
2019 Hyundai Creta 1.6 CRDi SX Option,₹10.99 Lakh,"Pimple Saudagar, Pune",Mar 2020,Third Party,Diesel,5 Seats,"91,000 Kms",Pune,First Owner,1582 cc,Manual,2019,1582 cc,190mm,126.2 bhp,19.67 kmpl,,FWD,5,,,,,,,,,
2019 Mahindra Thar CRDe,₹7.60 Lakh,"Kharadi, Pune",Jun 2019,Third Party,Diesel,6 Seats,"87,105 Kms",panvel,Second Owner,2498 cc,Manual,2019,,,,,,,,,,,,,,,,
2011 Maruti Swift VDI,₹3.75 Lakh,"Pashan, Pune",Mar 2011,Third Party,Diesel,5 Seats,"1,06,000 Kms",Pimpri chinchwad,Second Owner,1248 cc,Manual,2011,1248 cc,,74 bhp,22.9 kmpl,Diesel,,,,3850mm,,,,,,,
2014 Honda Amaze VX i-Vtech,₹4.15 Lakh,"Balewadi, Pune",Jun 2014,Comprehensive,Petrol,5 Seats,"48,000 Kms",Pune,First Owner,1198 cc,Manual,2014,1198 cc,,86.7 bhp,18 kmpl,Petrol,,,,,,,,,,,
2016 Volkswagen Polo GT TSI,₹6.90 Lakh,"Hadapsar, Pune",Feb 2017,Expired,Petrol,5 Seats,"73,000 Kms",Pune,First Owner,1197 cc,Automatic,2016,1197 cc,,103.5 bhp,17.21 kmpl,Petrol,,,,3971mm,,,,,,,
2017 Maruti Wagon R AMT VXI Option,₹4.81 Lakh,Pune,2017,Expired,Petrol,5 Seats,"40,000 Kms",Pune,First Owner,998 cc,Automatic,2017,998 cc,,67 bhp,20.51 kmpl,Petrol,,,,3599mm,,,,,,,
2012 Volkswagen Polo Cup Edition Comfortline,₹3.37 Lakh,"Wakad, Pune",Dec 2012,Comprehensive,Petrol,5 Seats,"67,809 Kms",Pune,First Owner,999 cc,Manual,2012,999 cc,,75 bhp,18.78 kmpl,Petrol,,,,3971mm,,,,,,,
2024 Kia Sonet HTK Diesel,₹11 Lakh,Pune,2024,Expired,Diesel,5 Seats,"10,000 Kms",Pune,First Owner,1493 cc,Manual,2024,1493 cc,,114 bhp,24.1 kmpl,Diesel,FWD,,,,,,,,,,
2021 Tata Nexon XZ Plus DualTone Roof Diesel,₹10.89 Lakh,"Wakad, Pune",Nov 2021,Comprehensive,Diesel,5 Seats,"48,711 Kms",Pune,First Owner,1497 cc,Manual,2021,1497 cc,209,108.49 bhp,21.19 kmpl,Diesel,,,,,,,,,,,
2019 Hyundai Verna VTVT 1.4 EX,₹8.25 Lakh,"Bavdhan, Pune",Jun 2019,Comprehensive,Petrol,5 Seats,"49,000 Kms",Pimpri chinchwad,First Owner,1368 cc,Manual,2019,1368 cc,,98.6 bhp,19.1 kmpl,Petrol,,,2,,,,,,,,
2018 Mahindra XUV500 W7 BSIV,₹9.45 Lakh,"Wakad, Pune",Oct 2018,Expired,Diesel,7 Seats,"98,254 Kms",Ratnagiri,First Owner,2179 cc,Manual,2018,2179 cc,200mm,152.87 bhp,15.1 kmpl,,FWD,7,,,,,,,,,
2013 Hyundai i20 Sportz 1.2,₹3.65 Lakh,"Thergaon, Pune",Mar 2013,Third Party,Petrol,5 Seats,"65,000 Kms",Pune,Second Owner,1197 cc,Manual,2013,1197 cc,,82.85 bhp,18.5 kmpl,Petrol,,,,3995mm,,,,,,,
2013 Hyundai i20 Asta 1.2,₹3.15 Lakh,"Kothrud, Pune",Mar 2013,Comprehensive,Petrol,5 Seats,"52,000 Kms",Pune,Second Owner,1197 cc,Manual,2013,1197 cc,,82.85 bhp,18.5 kmpl,Petrol,,,,3995mm,,,,,,,
2019 Renault KWID Climber 1.0 MT BSIV,₹3.45 Lakh,"Kharadi, Pune",Apr 2019,Comprehensive,Petrol,5 Seats,"42,000 Kms",Pune,Second Owner,999 cc,Manual,2019,999 cc,,67 bhp,23.01 kmpl,Petrol,,,1,,,,,,,,
2013 Maruti Ritz VXi,₹2.65 Lakh,"Thathawade, Pune",Mar 2013,Comprehensive,Petrol,5 Seats,"79,286 Kms",Pune,First Owner,1197 cc,Manual,2013,1197 cc,,85.80 bhp,18.5 kmpl,Petrol,,,,3775mm,,,,,,,
2016 Maruti Alto K10 VXI AMT,₹3.10 Lakh,"Thathawade, Pune",Jul 2016,Comprehensive,Petrol,5 Seats,"38,007 Kms",Pimpri chinchwad,First Owner,998 cc,Automatic,2016,998 cc,,67.05 bhp,23.95 kmpl,Petrol,,,1,,,,,,,,
