title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Ground Clearance,Power,Mileage,Fuel,Drive Type,Seating Capacity,No. of Airbags,Length,Global NCAP Safety Rating,Top Speed,Boot Space,Range,Battery Capacity,Charging Time DC,Charging Time AC
2017 Ford Endeavour 3.2 Titanium AT 4X4,₹22 Lakh,"Mundhwa, Pune",Aug 2017,Comprehensive,Diesel,7 Seats,"1,44,000 Kms",Pune,First Owner,3198 cc,Automatic,2017,3198 cc,225mm,197 bhp,10.91 kmpl,,4WD,7,,,,,,,,,
2016 Hyundai Xcent 1.2 Kappa SX,₹3.40 Lakh,Pune,2016,Expired,Petrol,5 Seats,"70,000 Kms",Pune,First Owner,1197 cc,Manual,2016,1197 cc,,82 bhp,19.1 kmpl,Petrol,,,,,,,,,,,
2017 Maruti Celerio VXI,₹3.98 Lakh,"Wakad, Pune",Feb 2017,Comprehensive,Petrol,5 Seats,"46,011 Kms",Pune,Second Owner,998 cc,Manual,2017,998 cc,,67.05 bhp,21.63 kmpl,Petrol,,,1,,,,,,,,
2012 Hyundai EON Era,₹2.14 Lakh,"Wakad, Pune",Dec 2012,Comprehensive,Petrol,5 Seats,"27,423 Kms",Nagpur,First Owner,814 cc,Manual,2012,814 cc,,55.2 bhp,21.1 kmpl,Petrol,,,,3495mm,,,,,,,
2017 Maruti Wagon R LXI CNG,₹3.85 Lakh,"Undri, Pune",Dec 2017,Expired,CNG,5 Seats,"43,931 Kms",Navi Mumbai,First Owner,998 cc,Manual,2017,998 cc,,58.16 bhp,26.6 km/kg,CNG,,,,3599mm,,,,,,,
2017 Maruti Ciaz Petrol,₹5.78 Lakh,"Wakad, Pune",Nov 2017,Comprehensive,Diesel,,"1,09,690 Kms",Pimpri chinchwad,First Owner,1248 cc,Manual,2017,1248 cc,,88.5 bhp,,Diesel,,,,,,,,,,,
2016 Maruti Swift VDI BSIV,₹5.50 Lakh,"Yerwada T.s., Pune",Feb 2016,Expired,Diesel,5 Seats,"91,000 Kms",Ratnagiri,Second Owner,1248 cc,Manual,2016,1248 cc,,74 bhp,25.2 kmpl,Diesel,,,,3840mm,,,,,,,
2021 Jeep Compass 1.4 Anniversary Edition DCT 2021-2022,₹19.69 Lakh,"Infotech Park, Pune",Aug 2021,Comprehensive,Petrol,5 Seats,"28,953 Kms",kalyan,First Owner,1368 cc,Automatic,2021,,,,,,,,,,,,,,,,
2015 Honda City i VTEC V,₹4.55 Lakh,"Kothrud, Pune",Nov 2015,Comprehensive,Petrol,5 Seats,"1,10,000 Kms",Pune,Second Owner,1497 cc,Manual,2015,1497 cc,,117.3 bhp,17.4 kmpl,Petrol,,,,,,,,,,,
2011 Maruti SX4 VDI,₹2.64 Lakh,"Rahatani, Pune",Oct 2011,Expired,Diesel,5 Seats,"1,31,000 Kms",Pune,First Owner,1248 cc,Manual,2011,1248 cc,,88.8 bhp,21.5 kmpl,Diesel,,,,,,,,,,,
2010 Toyota Fortuner 3.0 Diesel,₹9.90 Lakh,"Kothrud, Pune",Jun 2010,Comprehensive,Diesel,7 Seats,"2,10,000 Kms",Pimpri chinchwad,Second Owner,2982 cc,Manual,2010,2982 cc,221 mm,,11.5 kmpl,Diesel,4WD,7,,,,,,,,,
2019 Toyota Innova Crysta 2.4 VX MT,₹19.50 Lakh,"Pashan, Pune",Mar 2019,Expired,Diesel,7 Seats,"1,37,000 Kms",Pune,First Owner,2393 cc,Manual,2019,2393 cc,,147.51 bhp,,Diesel,,7,3,,,,,,,,
2018 Mercedes-Benz E-Class Expression E 220d,₹31.50 Lakh,"Baner, Pune",Feb 2018,Comprehensive,Diesel,5 Seats,"60,500 Kms",Mumbai,First Owner,1950 cc,Automatic,2018,1950 cc,,191.7 bhp,,Diesel,RWD,,,,,240 kmph,,,,,
2021 Hyundai Verna SX,₹9.70 Lakh,"Kothrud, Pune",Jun 2021,Expired,Petrol,5 Seats,"57,000 Kms",Solapur,First Owner,1497 cc,Manual,2021,,,,,,,,,,,,,,,,
2012 Hyundai i20 1.2 Sportz,₹3.11 Lakh,"Shaniwar Peth, Pune",Oct 2012,Expired,Petrol,5 Seats,"72,000 Kms",Pune,First Owner,1197 cc,Manual,2012,1197 cc,,,17 kmpl,Petrol,,,,3940 mm,,,,,,,
2014 Hyundai i20 1.4 CRDi Anniversary Edition,₹4.90 Lakh,Pune,2014,Expired,Diesel,5 Seats,"80,000 Kms",Pune,First Owner,1396 cc,Manual,2014,1396 cc,,88.73 bhp,22.54 kmpl,Diesel,,,,3985mm,,,,,,,
2020 Tata Tiago 1.2 Revotron XZ Plus,₹5.44 Lakh,"Hadapsar, Pune",Jan 2021,Comprehensive,Petrol,5 Seats,"24,572 Kms",Pimpri chinchwad,First Owner,1199 cc,Manual,2020,1199 cc,,84 bhp,23.84 kmpl,Petrol,,,,3746mm,,,,,,,
2021 MG Hector Plus Select Diesel MT 7 STR,₹16.95 Lakh,"Bavdhan, Pune",Jun 2021,Third Party,Diesel,7 Seats,"20,100 Kms",Pune,Second Owner,1956 cc,Manual,2021,1956 cc,,167.67 bhp,16.56 kmpl,Diesel,,6,4,,,,,,,,
2019 Hyundai Santro Sportz CNG,₹4.27 Lakh,"Wagholi, Pune",Jun 2019,Comprehensive,CNG,5 Seats,"1,02,437 Kms",Pune,First Owner,1086 cc,Manual,2019,1086 cc,,59.17 bhp,30.48 km/kg,CNG,,,2,,,,,,,,
2021 Maruti Swift Dzire VXI,₹6 Lakh,"Kothrud, Pune",Aug 2021,Expired,Petrol,5 Seats,"62,000 Kms",Pune,First Owner,1197 cc,Manual,2021,1197 cc,,88.50 bhp,22.41 kmpl,Petrol,,,,,3 Star,,378 Litres,,,,
2018 Maruti Baleno Delta CVT,₹5.50 Lakh,"Kothrud, Pune",Jul 2018,Expired,Petrol,5 Seats,"75,000 Kms",Pune,First Owner,1197 cc,Automatic,2018,1197 cc,,81.80 bhp,19.56 kmpl,Petrol,,,2,,,,,,,,
2021 Tata Nexon XZ Plus BSVI,₹8.02 Lakh,"Thathawade, Pune",Feb 2021,Zero Dep,Petrol,5 Seats,"24,683 Kms",Pimpri chinchwad,First Owner,1199 cc,Manual,2021,,,,,,,,,,,,,,,,
