title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Seating Capacity,Drive Type,Mileage,Fuel,No. of Airbags,Length,Ground Clearance,Top Speed,Range,Battery Capacity,Charging Time DC,Charging Time AC,Regenerative Braking Levels,Boot Space,Global NCAP Safety Rating
2016 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹4.46 Lakh,"Vadapalani, Chennai",Oct 2016,Comprehensive,Petrol,5 Seats,"41,088 Kms",Chennai,First Owner,1197 cc,Manual,2016,1197 cc,81.86 bhp,,,18.9 kmpl,Petrol,2,,,,,,,,,,
2018 Hyundai Santro Magna Corp Edition,₹4.56 Lakh,"Vadapalani, Chennai",Feb 2019,Comprehensive,Petrol,5 Seats,"32,612 Kms",Chennai,First Owner,1086 cc,Manual,2018,1086 cc,68.07 bhp,,,20.3 kmpl,Petrol,1,,,,,,,,,,
2015 Honda Amaze S Petrol,₹3.65 Lakh,"Porur, Chennai",Jul 2015,Comprehensive,Petrol,5 Seats,"87,267 Kms",Chennai,First Owner,1199 cc,Manual,2015,1199 cc,88.76 bhp,,,18.6 kmpl,Petrol,2,,,,,,,,,,
2021 Kia Seltos Anniversary Edition D,₹12.50 Lakh,Chennai,2021,Expired,Diesel,5 Seats,"26,000 Kms",,First Owner,1493 cc,Manual,2021,1493 cc,113.4 bhp,5,2WD,20.8 kmpl,Diesel,,,,,,,,,,,
2022 Hyundai Creta SX Turbo BSVI,₹17 Lakh,Chennai,2022,Expired,Petrol,5 Seats,"10,000 Kms",Chennai,First Owner,1353 cc,Automatic,2022,1353 cc,138.08 bhp,5,FWD,16.8 kmpl,Petrol,,,,,,,,,,,
2019 Honda City i-VTEC V,₹6.99 Lakh,"Ganapathipuram, Chennai",Jun 2019,Comprehensive,Petrol,5 Seats,"68,449 Kms",Poonamallee,First Owner,1497 cc,Manual,2019,1497 cc,117.6 bhp,,,17.4 kmpl,Petrol,2,,,,,,,,,,
2021 Maruti Vitara Brezza VXI,₹7.45 Lakh,Chennai,2021,Expired,Petrol,5 Seats,"50,000 Kms",Chennai,First Owner,1462 cc,Manual,2021,1462 cc,103.26 bhp,,FWD,17.03 kmpl,Petrol,,,,,,,,,,,
2017 Honda Jazz 1.2 V i VTEC,₹4.80 Lakh,"Triplicane, Chennai",May 2017,Comprehensive,Petrol,5 Seats,"1,12,000 Kms",Chennai,First Owner,1199 cc,Manual,2017,1199 cc,88.7 bhp,,,18.7 kmpl,Petrol,,3955mm,,,,,,,,,
2022 Tata Nexon XZ Plus BSVI,₹11.25 Lakh,"Anna Nagar, Chennai",Jul 2022,Expired,Petrol,5 Seats,"45,000 Kms",Poonamallee,First Owner,1199 cc,Manual,2022,1199 cc,118.35 bhp,,,17.33 kmpl,Petrol,,,209,,,,,,,,
2015 Honda Amaze VX i-VTEC,₹4.23 Lakh,"Vadapalani, Chennai",Jan 2016,Comprehensive,Petrol,5 Seats,"52,485 Kms",Chennai,Second Owner,1198 cc,Manual,2015,1198 cc,86.7 bhp,,,17.8 kmpl,Petrol,,,,,,,,,,,
2014 Mahindra Xylo D4,₹4.50 Lakh,Chennai,2014,Expired,Diesel,7 Seats,"1,02,030 Kms",Chennai,Second Owner,2489 cc,Manual,2014,2489 cc,93.7 bhp,8,,14.95 kmpl,Diesel,,,,,,,,,,,
2018 BMW 5 Series 520d Luxury Line,₹34.90 Lakh,"Peelamedu, Coimbatore",Apr 2018,Comprehensive,Diesel,5 Seats,"47,825 Kms",Tiruchirappalli,Second Owner,1995 cc,Automatic,2018,1995 cc,187.74 bhp,,RWD,,Diesel,,,,235 kmph,,,,,,,
2020 Renault Triber RXZ,₹6.30 Lakh,"Ganapathipuram, Chennai",Nov 2020,Expired,Petrol,7 Seats,"51,520 Kms",Chennai,First Owner,999 cc,Manual,2020,999 cc,71.01 bhp,7,,20 kmpl,Petrol,,,,,,,,,,,4 Star
2019 Hyundai Verna VTVT 1.6 AT SX Option,₹9.50 Lakh,"Thygaraya Nagar, Chennai",Sept 2019,Comprehensive,Petrol,5 Seats,"19,000 Kms",Chennai,First Owner,1591 cc,Automatic,2019,1591 cc,121.3 bhp,,,17 kmpl,Petrol,6,,,,,,,,,,
2015 Hyundai Grand i10 AT Asta,₹3.57 Lakh,"Vadapalani, Chennai",May 2015,Expired,Petrol,5 Seats,"90,976 Kms",Chennai,Second Owner,1197 cc,Automatic,2015,1197 cc,82 bhp,,,18.9 kmpl,Petrol,,3765mm,,,,,,,,,
2016 Volkswagen Polo GT TSI,₹6 Lakh,"Thygaraya Nagar, Chennai",Jul 2016,Comprehensive,Petrol,5 Seats,"59,000 Kms",Chennai,Third Owner,1197 cc,Automatic,2016,1197 cc,103.5 bhp,,,17.21 kmpl,Petrol,,3971mm,,,,,,,,,
2017 Maruti Baleno 1.2 Zeta,₹5.60 Lakh,"Koyambedu, Chennai",Oct 2017,Expired,Petrol,5 Seats,"75,000 Kms",Chennai,First Owner,1197 cc,Manual,2017,1197 cc,83.1 bhp,,,21.4 kmpl,Petrol,,3995mm,,,,,,,,,
2016 Maruti Wagon R Stingray VXI,₹3.98 Lakh,"Airport, Chennai",Jul 2016,Comprehensive,Petrol,5 Seats,"31,690 Kms",Chennai,First Owner,998 cc,Manual,2016,998 cc,67.04 bhp,,,20.51 kmpl,Petrol,,3636mm,,,,,,,,,
2021 Kia Sonet 1.5 GTX Plus Diesel DT,₹10.30 Lakh,Chennai,2021,Expired,Diesel,5 Seats,"40,000 Kms",Chennai,First Owner,1493 cc,Manual,2021,1493 cc,98.63 bhp,5,FWD,,Diesel,6,,,,,,,,,,
2022 Maruti Ignis Zeta BSVI,₹5.12 Lakh,"Thiruverkadu, Chennai",Apr 2022,Comprehensive,Petrol,5 Seats,"51,933 Kms",Poonamallee,First Owner,1197 cc,Manual,2022,1197 cc,81.80 bhp,,,20.89 kmpl,Petrol,2,,,,,,,,,,
2023 Tata Safari XZA Plus (O) AT,₹19 Lakh,Chennai,2023,Expired,Diesel,7 Seats,"40,000 Kms",Poonamallee,First Owner,1956 cc,Automatic,2023,1956 cc,167.67 bhp,6,,14.08 kmpl,Diesel,6,,,,,,,,,,5 Star
2019 Hyundai Xcent 1.2 VTVT S,₹4.28 Lakh,"Thiruverkadu, Chennai",Mar 2019,Comprehensive,Petrol,5 Seats,"94,918 Kms",Chennai,First Owner,1197 cc,Manual,2019,1197 cc,81.86 bhp,,,20.14 kmpl,Petrol,2,,,,,,,,,,
