title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Seating Capacity,Drive Type,Mileage,Fuel,No. of Airbags,Length,Ground Clearance,Top Speed,Range,Battery Capacity,Charging Time DC,Charging Time AC,Regenerative Braking Levels,Boot Space,Global NCAP Safety Rating
2019 Kia Seltos HTK Plus AT D,₹11.50 Lakh,Chennai,2019,Expired,Diesel,5 Seats,"1,20,000 Kms",Chennai,First Owner,1493 cc,Automatic,2019,1493 cc,113.42 bhp,5,2WD,17.8 kmpl,Diesel,,,,,,,,,,,
2021 Audi A6 45 TFSI Technology WO Matrix BSVI,₹39.90 Lakh,"Thygaraya Nagar, Chennai",Mar 2021,Expired,Petrol,5 Seats,"53,000 Kms",HR98,First Owner,1984 cc,Automatic,2021,1984 cc,241.3 bhp,,,14.11 kmpl,Petrol,6,,,,,,,,,,
2017 Honda Jazz 1.2 V AT i VTEC,₹5.77 Lakh,"Vadapalani, Chennai",May 2017,Third Party,Petrol,5 Seats,"37,946 Kms",Chennai,First Owner,1199 cc,Automatic,2017,1199 cc,88.7 bhp,,,19 kmpl,Petrol,,3955mm,,,,,,,,,
2018 Renault Duster 85PS Diesel RxS,₹6.99 Lakh,"Thygaraya Nagar, Chennai",Feb 2019,Expired,Diesel,5 Seats,"84,000 Kms",Chennai,First Owner,1461 cc,Manual,2018,1461 cc,83.8 bhp,,FWD,19.87 kmpl,,,,205mm,,,,,,,,
2020 Maruti Alto 800 VXI BSVI,₹3.35 Lakh,"Ganapathipuram, Chennai",Oct 2020,Expired,Petrol,5 Seats,"93,690 Kms",Ranipet,First Owner,796 cc,Manual,2020,796 cc,47.33 bhp,,,22.05 kmpl,Petrol,2,,,,,,,,,,
2021 Mercedes-Benz E-Class Exclusive E 220d,₹62 Lakh,"Peelamedu, Coimbatore",Apr 2021,Comprehensive,Diesel,5 Seats,"7,000 Kms",Chennai,First Owner,1950 cc,Automatic,2021,,,,,,,,,,,,,,,,,
2012 Hyundai i20 Sportz Petrol,₹2.88 Lakh,"Thiruverkadu, Chennai",Jun 2012,Comprehensive,Petrol,5 Seats,"62,850 Kms",Chennai,Second Owner,1197 cc,Manual,2012,1197 cc,,,,17 kmpl,Petrol,,3940 mm,,,,,,,,,
2014 Maruti Swift ZDi,₹4.80 Lakh,"Kovilambakkam, Chennai",Jun 2014,Comprehensive,Diesel,5 Seats,"1,25,876 Kms",Chennai,First Owner,1248 cc,Manual,2014,1248 cc,74 bhp,,,22.9 kmpl,Diesel,,3850mm,,,,,,,,,
2012 Mercedes-Benz GL-Class 350 CDI Luxury,₹19.50 Lakh,"Thygaraya Nagar, Chennai",Aug 2012,Comprehensive,Diesel,7 Seats,"70,000 Kms",Chennai,Second Owner,2987 cc,Automatic,2012,2987 cc,224 bhp,,All-wheel drive with Electronic Traction,,Diesel,,,,210km/hr kmph,,,,,,,
2020 Honda City V MT,₹9.20 Lakh,"Vadapalani, Chennai",Oct 2020,Comprehensive,Petrol,5 Seats,"42,972 Kms",Chennai,First Owner,1498 cc,Manual,2020,1498 cc,119.35 bhp,,,18.6 kmpl,Petrol,4,,,,,,,,,,
2011 Maruti Estilo LXI,₹2 Lakh,"Vadapalani, Chennai",Sept 2011,Expired,Petrol,,"1,04,567 Kms",red hills,First Owner,1061 cc,Manual,2011,1061 cc,,,,19.5 kmpl,Petrol,,,,,,,,,,,
2016 Maruti Baleno 1.2 Delta,₹5.40 Lakh,"Vadapalani, Chennai",2016,Expired,Petrol,5 Seats,"60,000 Kms",Chennai,Second Owner,1197 cc,Manual,2016,1197 cc,83.1 bhp,,,21.4 kmpl,Petrol,,3995mm,,,,,,,,,
2010 Hyundai Santro Xing GLS,₹1.80 Lakh,Chennai,2010,Expired,Petrol,5 Seats,"40,000 Kms",Tiruvallur,Second Owner,1086 cc,Manual,2010,1086 cc,62.1 bhp,,,17.92 kmpl,Petrol,,3565mm,,,,,,,,,
2022 Audi RS e-tron GT Quattro,₹1.29 Crore,"Medavakkam, Chennai",,Expired,Electric,5 Seats,"4,100 Kms",,,,Automatic,2022,,636.98 bhp,,,,,,,,200 kmph,401-481 km,93 kWh,22.5 Mins 270 kW DC (5-80%),5:15 H (22 kW AC) (5-80%),Yes,,
2016 BMW 3 Series GT Sport,₹23.50 Lakh,"Thygaraya Nagar, Chennai",Feb 2017,Comprehensive,Diesel,5 Seats,"63,000 Kms",Chennai,First Owner,1995 cc,Automatic,2016,1995 cc,188 bhp,5,RWD,,Diesel,,,,226 kmph,,,,,,,
2015 Renault KWID RXT,₹2.66 Lakh,"Thiruverkadu, Chennai",Mar 2017,Third Party,Petrol,5 Seats,"35,102 Kms",Chennai,Second Owner,799 cc,Manual,2015,799 cc,53.3 bhp,,,25.17 kmpl,Petrol,,3679mm,,,,,,,,,
2019 Maruti Celerio ZXI AMT,₹5.14 Lakh,"Vadapalani, Chennai",Jun 2019,Zero Dep,Petrol,5 Seats,"34,441 Kms",red hills,First Owner,998 cc,Automatic,2019,998 cc,65.71 bhp,,,26 kmpl,Petrol,,,,,,,,,,313 Litres,
2017 Honda City i VTEC CVT SV,₹8 Lakh,"Thygaraya Nagar, Chennai",Mar 2017,Comprehensive,Petrol,5 Seats,"45,001 Kms",Chennai,First Owner,1497 cc,Automatic,2017,1497 cc,117.3 bhp,,,18 kmpl,Petrol,,,,,,,,,,,
2022 Hyundai Creta SX Diesel,₹15.30 Lakh,"Anna Nagar, Chennai",Dec 2022,Comprehensive,Diesel,5 Seats,"23,000 Kms",Poonamallee,First Owner,1493 cc,Manual,2022,1493 cc,113.45 bhp,5,2WD,18 kmpl,Diesel,,,,,,,,,,,
2024 Hyundai Aura SX Plus AMT,₹8.60 Lakh,Chennai,2024,Expired,Petrol,5 Seats,"20,000 Kms",Chennai,First Owner,1197 cc,Automatic,2024,1197 cc,82 bhp,,,17 kmpl,Petrol,6,,,,,,,,,,
2021 Jeep Compass 2.0 Model S Opt,₹21 Lakh,"Thygaraya Nagar, Chennai",Sept 2021,Comprehensive,Diesel,5 Seats,"9,000 Kms",Chennai,First Owner,1956 cc,Manual,2021,1956 cc,168 bhp,5,FWD,17.1 kmpl,Diesel,,,,,,,,,,,5 Star
2021 BMW X1 sDrive20d xLine,₹32 Lakh,"Thygaraya Nagar, Chennai",Sept 2021,Comprehensive,Diesel,5 Seats,"42,000 Kms",Chennai,First Owner,1995 cc,Automatic,2021,1995 cc,187.74 bhp,5,,19.62 kmpl,Diesel,6,,,,,,,,,,
2014 Mahindra Xylo D4,₹4.50 Lakh,"Vadapalani, Chennai",2014,Expired,Diesel,7 Seats,"90,000 Kms",Chennai,Second Owner,2489 cc,Manual,2014,2489 cc,93.7 bhp,8,,14.95 kmpl,Diesel,,,,,,,,,,,
2021 Maruti Alto 800 VXI Plus BSVI,₹3.65 Lakh,Chennai,2021,Expired,Petrol,5 Seats,"20,000 Kms",,Second Owner,796 cc,Manual,2021,796 cc,47.33 bhp,,,22.05 kmpl,Petrol,2,,,,,,,,,,
2012 Mercedes-Benz E-Class 220 CDI,₹13 Lakh,"Ganapathipuram, Chennai",Feb 2013,Comprehensive,Diesel,5 Seats,"80,001 Kms",Chennai,Third Owner,2143 cc,Automatic,2012,2143 cc,170 bhp,5,RWD,,Diesel,,,,227km/hr kmph,,,,,,,
2017 Hyundai Tucson 2.0 Dual VTVT 2WD MT,₹13.90 Lakh,"Kottivakkam, Chennai",2017,Expired,Petrol,5 Seats,"20,000 Kms",Kanchipuram,First Owner,1999 cc,Manual,2017,1999 cc,152.88 bhp,5,2WD,13.03 kmpl,,,,195mm,,,,,,,,
2017 Hyundai Grand i10 1.2 Kappa Asta,₹4.50 Lakh,"Vadapalani, Chennai",2017,Expired,Petrol,5 Seats,"70,000 Kms",Chennai,Second Owner,1197 cc,Manual,2017,1197 cc,81.86 bhp,,,18.9 kmpl,Petrol,2,,,,,,,,,,
2014 Hyundai i20 Magna 1.2,₹3.80 Lakh,"Chromepet, Chennai",2014,Expired,Petrol,5 Seats,"80,000 Kms",Chennai,First Owner,1197 cc,Manual,2014,1197 cc,81.83 bhp,,,18.6 kmpl,Petrol,,3985mm,,,,,,,,,
2022 Jeep Compass Model S Diesel BSVI,₹20.50 Lakh,Chennai,2022,Expired,Diesel,5 Seats,"90,000 Kms",Pondicherry,First Owner,1956 cc,Manual,2022,1956 cc,167.67 bhp,5,4x2,17.1 kmpl,Diesel,,,,,,,,,,,
2016 BMW 3 Series 320d,₹13.50 Lakh,"Kottivakkam, Chennai",Dec 2016,Comprehensive,Diesel,5 Seats,"1,30,000 Kms",Chengalpattu,Second Owner,1995 cc,Automatic,2016,1995 cc,190 bhp,5,RWD,,Diesel,,,,230 kmph,,,,,,,
2023 Mini Cooper Countryman S JCW Inspired,₹38 Lakh,"Nandanam, Chennai",2023,Expired,Petrol,5 Seats,"20,000 Kms",Pondicherry,First Owner,1998 cc,Automatic,2023,1998 cc,189.08 bhp,5,FWD,14.34 kmpl,,,,149 mm,,,,,,,,4 Star
2019 Skoda Superb LK 2.0 TDI AT,₹25.90 Lakh,"Kottivakkam, Chennai",Nov 2020,Comprehensive,Diesel,5 Seats,"58,321 Kms",Udumalaipettai,Second Owner,1984 cc,Automatic,2019,1984 cc,174.5 bhp,,,18.19 kmpl,Diesel,8,,,,,,,,,,
2023 Renault KWID 1.0 RXT AMT,₹5.53 Lakh,"Thiruverkadu, Chennai",Jul 2023,Comprehensive,Petrol,5 Seats,"26,189 Kms",Poonamallee,First Owner,999 cc,Automatic,2023,999 cc,67.06 bhp,,,22.3 kmpl,Petrol,,,,,,,,,,279 Litres,
2022 Maruti Ignis Zeta BSVI,₹5.32 Lakh,"Chromepet, Chennai",Apr 2022,Expired,Petrol,5 Seats,"37,477 Kms",red hills,First Owner,1197 cc,Manual,2022,1197 cc,81.80 bhp,,,20.89 kmpl,Petrol,2,,,,,,,,,,
2022 Renault KWID 1.0 RXT AMT BSVI,₹4.81 Lakh,"Vadapalani, Chennai",Apr 2022,Zero Dep,Petrol,5 Seats,"23,241 Kms",Chennai,First Owner,999 cc,Automatic,2022,999 cc,67.06 bhp,,,22.3 kmpl,Petrol,2,,,,,,,,,,
2017 Audi Q3 30 TDI Premium FWD,₹24 Lakh,"Kottivakkam, Chennai",Jun 2017,Comprehensive,Diesel,5 Seats,"77,000 Kms",Chennai,First Owner,1968 cc,Automatic,2017,1968 cc,147.51 bhp,5,FWD,,Diesel,,,,204 kmph,,,,,,,
2019 Kia Seltos GTK,₹8.74 Lakh,"Ganapathipuram, Chennai",Dec 2019,Expired,Petrol,5 Seats,"69,749 Kms",Chennai,Second Owner,1353 cc,Manual,2019,1353 cc,138 bhp,5,2WD,16.1 kmpl,Petrol,,,,,,,,,,,
2019 Hyundai Venue SX Plus Turbo DCT BSIV,₹7.50 Lakh,"Ganapathipuram, Chennai",Nov 2019,Comprehensive,Petrol,5 Seats,"28,000 Kms",Chennai,Third Owner,998 cc,Automatic,2019,998 cc,118.35 bhp,,FWD,18.15 kmpl,Petrol,,,,,,,,,,,
2019 Volkswagen Vento 1.6 Highline,₹7.25 Lakh,"Ganapathipuram, Chennai",2019,Expired,Petrol,5 Seats,"70,000 Kms",Chennai,First Owner,1598 cc,Manual,2019,1598 cc,103.2 bhp,,,16.09 kmpl,Petrol,,,,,,,,,,,
2009 Mercedes-Benz S-Class 320 CDI,₹12.50 Lakh,"Kottivakkam, Chennai",Aug 2009,Comprehensive,Diesel,5 Seats,"56,000 Kms",Chennai,Fourth Owner,2987 cc,Automatic,2009,2987 cc,,,,13 kmpl,Diesel,,,,,,,,,,,
2020 Maruti S-Presso VXI Plus 2019-2022,₹3.65 Lakh,"Chromepet, Chennai",Mar 2020,Third Party,Petrol,5 Seats,"59,590 Kms",Chennai,Second Owner,998 cc,Manual,2020,998 cc,65.71 bhp,,,21.7 kmpl,Petrol,2,,,,,,,,,,
2021 Maruti Vitara Brezza VXI AT,₹7.92 Lakh,"Ganapathipuram, Chennai",Dec 2021,Zero Dep,Petrol,5 Seats,"55,802 Kms",Chennai,First Owner,1462 cc,Automatic,2021,1462 cc,103.26 bhp,,FWD,18.76 kmpl,Petrol,,,,,,,,,,,
2020 Hyundai Venue SX Turbo BSIV,₹7.15 Lakh,"Ganapathipuram, Chennai",Jan 2020,Comprehensive,Petrol,5 Seats,"54,877 Kms",Chennai,Second Owner,998 cc,Manual,2020,998 cc,118.35 bhp,,FWD,18.27 kmpl,Petrol,,,,,,,,,,,
2014 Hyundai Grand i10 Sportz,₹3.31 Lakh,"Chromepet, Chennai",Apr 2014,Third Party,Petrol,5 Seats,"60,477 Kms",Chennai,Second Owner,1197 cc,Manual,2014,,,,,,,,,,,,,,,,,
2018 Maruti Alto 800 VXI,₹3.32 Lakh,"Airport, Chennai",Jul 2018,Comprehensive,Petrol,5 Seats,"42,141 Kms",Chennai,First Owner,796 cc,Manual,2018,796 cc,47.3 bhp,,,24.7 kmpl,Petrol,,3430mm,,,,,,,,,
2021 Mahindra Thar LX 4WD Hard Top AT BSVI,₹13 Lakh,Chennai,2021,Expired,Petrol,4 Seats,"30,000 Kms",Chennai,First Owner,1997 cc,Automatic,2021,1997 cc,150 bhp,4,4X4,8 kmpl,,,,226mm,,,,,,,,
2021 Hyundai i20 Asta Turbo iMT,₹7.27 Lakh,"Vadapalani, Chennai",Jun 2021,Expired,Petrol,5 Seats,"31,353 Kms",Thanjavur,First Owner,998 cc,Manual,2021,998 cc,118.36 bhp,,,20 kmpl,Petrol,2,,,,,,,,,,
2009 Hyundai Santro Xing GLS,₹1.95 Lakh,"Vadapalani, Chennai",Nov 2009,Expired,Petrol,5 Seats,"67,854 Kms",Chennai,First Owner,1086 cc,Manual,2009,1086 cc,62.1 bhp,,,17.92 kmpl,Petrol,,3565mm,,,,,,,,,
2018 Hyundai i20 Active 1.2 S,₹5.29 Lakh,"Thiruverkadu, Chennai",Apr 2018,Expired,Petrol,5 Seats,"72,679 Kms",Sivaganga,Second Owner,1197 cc,Manual,2018,1197 cc,81.86 bhp,,,17.19 kmpl,Petrol,,3995mm,,,,,,,,,
2018 Hyundai EON Magna,₹3.47 Lakh,"Vadapalani, Chennai",Sept 2018,Comprehensive,Petrol,5 Seats,"49,915 Kms",Chennai,Second Owner,814 cc,Manual,2018,814 cc,,,,22 kmpl,Petrol,,3495 mm,,,,,,,,,
2017 Maruti Celerio ZXI AT Optional,₹4.10 Lakh,"Thiruverkadu, Chennai",Jul 2017,Comprehensive,Petrol,5 Seats,"72,531 Kms",Chennai,First Owner,998 cc,Automatic,2017,998 cc,67.04 bhp,,,23.1 kmpl,Petrol,,3715mm,,,,,,,,,
2018 Maruti Baleno 1.2 Zeta,₹5.39 Lakh,"Thiruverkadu, Chennai",Aug 2018,Comprehensive,Petrol,5 Seats,"94,128 Kms",Chennai,First Owner,1197 cc,Manual,2018,1197 cc,83.1 bhp,,,21.4 kmpl,Petrol,,3995mm,,,,,,,,,
2021 Maruti S-Presso VXI,₹4.60 Lakh,"Thiruverkadu, Chennai",Jul 2021,Comprehensive,Petrol,5 Seats,"7,087 Kms",Chennai,First Owner,998 cc,Manual,2021,998 cc,65.71 bhp,,,24.76 kmpl,Petrol,,,,,,,,,,240 Litres,
2005 Mercedes-Benz E-Class E240 V6 AT,₹3.50 Lakh,Chennai,2005,Expired,Petrol,5 Seats,"60,000 Kms",Chennai,First Owner,2497 cc,Automatic,2005,2497 cc,203 bhp,5,Rear-wheel drive with ESP,,Petrol,,,,,,,,,,,
2019 Volkswagen Vento 1.6 Highline BSIV,₹9.50 Lakh,Chennai,2019,Expired,Petrol,5 Seats,"30,000 Kms",,First Owner,1598 cc,Manual,2019,1598 cc,103.2 bhp,,,16.09 kmpl,Petrol,,,,,,,,,,,
2011 Maruti Zen Estilo VXI BSIV,₹1.70 Lakh,"Chromepet, Chennai",2011,Expired,Petrol,5 Seats,"70,000 Kms",Chennai,First Owner,998 cc,Manual,2011,998 cc,67.1 bhp,,,19 kmpl,Petrol,,3600mm,,,,,,,,,
2019 Hyundai Creta 1.6 E Plus,₹7.27 Lakh,"Thiruverkadu, Chennai",Jun 2019,Expired,Petrol,5 Seats,"37,935 Kms",Chennai,Second Owner,1591 cc,Manual,2019,1591 cc,121.3 bhp,,FWD,15.8 kmpl,Petrol,,,,,,,,,,,
2020 Maruti Baleno Zeta Diesel,₹6.59 Lakh,"Vadapalani, Chennai",Sept 2020,Comprehensive,Diesel,5 Seats,"29,535 Kms",Chennai,First Owner,1248 cc,Manual,2020,1248 cc,74 bhp,,,27.39 kmpl,Diesel,2,,,,,,,,,,
2013 Maruti Alto 800 LXi,₹2.59 Lakh,"Vadapalani, Chennai",Jan 2014,Comprehensive,Petrol,5 Seats,"27,858 Kms",Salem,Second Owner,796 cc,Manual,2013,,,,,,,,,,,,,,,,,
2023 Toyota Innova Hycross ZX(O) Hybrid,₹37.50 Lakh,"Thygaraya Nagar, Chennai",Jan 2024,Comprehensive,Petrol,7 Seats,"10,000 Kms",Chennai,First Owner,1987 cc,Automatic,2023,1987 cc,183.72 bhp,"7, 8",,,Petrol,6,,,,,,,,,,
2020 Kia Seltos HTX IVT G,₹11.40 Lakh,"Thygaraya Nagar, Chennai",Jul 2020,Comprehensive,Petrol,5 Seats,"73,069 Kms",Chennai,First Owner,1497 cc,Automatic,2020,1497 cc,113.42 bhp,5,2WD,16.8 kmpl,Petrol,,,,,,,,,,,
2021 Renault KWID 1.0 RXT Opt,₹3.87 Lakh,"Thiruverkadu, Chennai",Sept 2021,Third Party,Petrol,5 Seats,"38,347 Kms",Tiruvallur,First Owner,999 cc,Manual,2021,999 cc,67 bhp,,,21.74 kmpl,Petrol,2,,,,,,,,,,
2015 Honda Amaze S Diesel,₹5.10 Lakh,"Thiruverkadu, Chennai",Mar 2015,Comprehensive,Diesel,5 Seats,"69,218 Kms",Chennai,First Owner,1498 cc,Manual,2015,1498 cc,98.63 bhp,,,24.7 kmpl,Diesel,2,,,,,,,,,,
2014 Honda City V MT,₹5.26 Lakh,"Airport, Chennai",Jul 2014,Comprehensive,Petrol,5 Seats,"55,000 Kms",Chennai,First Owner,1497 cc,Manual,2014,1497 cc,116.3 bhp,,,16.8 kmpl,Petrol,,,,,,,,,,,
2019 Volkswagen Polo 1.0 MPI Comfortline,₹4.93 Lakh,"Thiruverkadu, Chennai",Jan 2020,Comprehensive,Petrol,5 Seats,"35,225 Kms",Kanchipuram,Second Owner,999 cc,Manual,2019,999 cc,75.10 bhp,,,17.74 kmpl,Petrol,2,,,,,,,,,,
2019 Kia Seltos GTX Plus DCT,₹11.50 Lakh,"Thygaraya Nagar, Chennai",2019,Expired,Petrol,5 Seats,"60,000 Kms",Chennai,Second Owner,1353 cc,Automatic,2019,1353 cc,138.08 bhp,5,FWD,16.5 kmpl,Petrol,,,,,,,,,,,
2015 Maruti Ciaz ZXi Option,₹5.10 Lakh,"Thiruverkadu, Chennai",2015,Expired,Petrol,5 Seats,"40,000 Kms",Chennai,First Owner,1373 cc,Manual,2015,1373 cc,91.2 bhp,,,20.73 kmpl,Petrol,,,,,,,,,,,
2013 Maruti Swift Dzire LDI,₹4.75 Lakh,"Thiruverkadu, Chennai",Apr 2014,Comprehensive,Diesel,5 Seats,"70,712 Kms",Chennai,First Owner,1248 cc,Manual,2013,1248 cc,74 bhp,,,23.4 kmpl,Diesel,,,,,,,,,,,
2016 Ford Endeavour Titanium Plus 4X4,₹18.50 Lakh,"Thygaraya Nagar, Chennai",Nov 2016,Comprehensive,Diesel,7 Seats,"2,20,000 Kms",Chennai,First Owner,3198 cc,Automatic,2016,3198 cc,197 bhp,7,4WD,14.2 kmpl,Diesel,,,,,,,,,,,
2015 Honda Brio S MT,₹3.60 Lakh,"Thiruverkadu, Chennai",Apr 2015,Comprehensive,Petrol,5 Seats,"63,000 Kms",Chennai,First Owner,1198 cc,Manual,2015,1198 cc,86.8 bhp,,,19.4 kmpl,Petrol,,3610mm,,,,,,,,,
2016 Hyundai Creta 1.6 SX Automatic,₹8.40 Lakh,"Thygaraya Nagar, Chennai",May 2016,Comprehensive,Petrol,5 Seats,"42,000 Kms",Chennai,First Owner,1591 cc,Automatic,2016,1591 cc,121.3 bhp,5,FWD,14.8 kmpl,Petrol,,,,,,,,,,,
2019 MG Hector Sharp Diesel MT,₹16.50 Lakh,"Nungambakkam, Chennai",Jul 2019,Comprehensive,Diesel,5 Seats,"53,000 Kms",Chennai,First Owner,1956 cc,Manual,2019,1956 cc,167.68 bhp,5,FWD,17.41 kmpl,,,,183mm,,,,,,,,
2020 Kia Sonet GTX Plus Diesel AT BSVI,₹12.50 Lakh,"Kottivakkam, Chennai",Oct 2020,Comprehensive,Diesel,5 Seats,"49,000 Kms",Chennai,Second Owner,1493 cc,Automatic,2020,1493 cc,113.43 bhp,5,FWD,,Diesel,6,,,,,,,,,,
2022 Maruti Alto K10 VXI Plus,₹4.38 Lakh,"Thiruverkadu, Chennai",Dec 2022,Zero Dep,Petrol,5 Seats,"8,882 Kms",Chennai,First Owner,998 cc,Manual,2022,998 cc,65.71 bhp,,,24.39 kmpl,Petrol,,,,,,,,,,214 Litres,
2017 Hyundai Verna 1.4 VTVT,₹5.70 Lakh,"Porur, Chennai",Feb 2017,Expired,Petrol,5 Seats,"92,242 Kms",Poonamallee,First Owner,1396 cc,Manual,2017,1396 cc,105.5 bhp,,,17.43 kmpl,Petrol,,,,,,,,,,,
2016 Maruti Wagon R AMT VXI Option,₹4.35 Lakh,"Ganapathipuram, Chennai",Jan 2017,Comprehensive,Petrol,5 Seats,"54,000 Kms",Chennai,First Owner,998 cc,Automatic,2016,998 cc,67 bhp,,,20.51 kmpl,Petrol,,3599mm,,,,,,,,,
2007 Honda Civic 1.8 (E) MT,₹3.75 Lakh,"Thiruverkadu, Chennai",Mar 2007,Comprehensive,Petrol,5 Seats,"61,000 Kms",Chennai,First Owner,1799 cc,Manual,2007,1799 cc,130 bhp,,,13.5 kmpl,Petrol,,,,,,,,,,,
2010 Hyundai Santro Xing GLS,₹1.90 Lakh,"Vadapalani, Chennai",Jul 2010,Comprehensive,Petrol,5 Seats,"63,000 Kms",Chennai,Second Owner,1086 cc,Manual,2010,1086 cc,62.1 bhp,,,17.92 kmpl,Petrol,,3565mm,,,,,,,,,
2022 Maruti Swift VXI BSVI,₹6.99 Lakh,"Koyambedu, Chennai",Aug 2022,Comprehensive,Petrol,5 Seats,"24,000 Kms",Chennai,First Owner,1197 cc,Manual,2022,1197 cc,88.50 bhp,,,22.38 kmpl,Petrol,2,,,,,,,,,,
2022 Hyundai Creta SX Diesel BSVI,₹15.35 Lakh,"Thygaraya Nagar, Chennai",Mar 2022,Expired,Diesel,5 Seats,"62,092 Kms",Poonamallee,First Owner,1493 cc,Manual,2022,1493 cc,113.45 bhp,5,,18 kmpl,Diesel,6,,,,,,,,,,
2018 Honda Jazz 1.2 V i VTEC,₹4.97 Lakh,"Ganapathipuram, Chennai",Apr 2018,Comprehensive,Petrol,5 Seats,"79,584 Kms",Chennai,First Owner,1199 cc,Manual,2018,1199 cc,88.7 bhp,,,18.7 kmpl,Petrol,,3955mm,,,,,,,,,
2019 Hyundai Venue SX Opt Diesel BSIV,₹8.35 Lakh,"Thiruverkadu, Chennai",Sept 2019,Comprehensive,Diesel,5 Seats,"65,565 Kms",Chennai,First Owner,1396 cc,Manual,2019,1396 cc,88.7 bhp,,FWD,23.7 kmpl,Diesel,,,,,,,,,,,
2018 Maruti Wagon R VXI BS IV,₹3.79 Lakh,"Thiruverkadu, Chennai",Jun 2018,Comprehensive,Petrol,5 Seats,"78,437 Kms",Chennai,Second Owner,998 cc,Manual,2018,998 cc,67.04 bhp,,,20.51 kmpl,Petrol,,3599mm,,,,,,,,,
2014 Honda Amaze VX Diesel,₹3.70 Lakh,"MEENAMBAKKAM, Chennai",Mar 2014,Expired,Diesel,5 Seats,"1,21,314 Kms",Chennai,First Owner,1498 cc,Manual,2014,1498 cc,98.63 bhp,,,24.7 kmpl,Diesel,2,,,,,,,,,,
2022 Jeep Compass Model S Diesel BSVI,₹22 Lakh,Chennai,2022,Expired,Diesel,5 Seats,"30,000 Kms",Chennai,First Owner,1956 cc,Manual,2022,1956 cc,167.67 bhp,5,4x2,17.1 kmpl,Diesel,,,,,,,,,,,
2017 Maruti Ignis 1.2 Delta BSIV,₹4.60 Lakh,Chennai,2017,Expired,Petrol,5 Seats,"70,000 Kms",Thoothukudi,Second Owner,1197 cc,Manual,2017,1197 cc,81.80 bhp,,,20.89 kmpl,Petrol,2,,,,,,,,,,
2009 Hyundai i10 Magna 1.2,₹2.08 Lakh,Chennai,2009,Expired,Petrol,5 Seats,"90,000 Kms",Chennai,First Owner,1197 cc,Manual,2009,1197 cc,78.9 bhp,,,20.36 kmpl,Petrol,,3585mm,,,,,,,,,
2015 Hyundai Grand i10 Asta,₹3.78 Lakh,"Thiruverkadu, Chennai",May 2015,Expired,Petrol,5 Seats,"64,730 Kms",Chennai,Second Owner,1197 cc,Manual,2015,1197 cc,82 bhp,,,18.9 kmpl,Petrol,,3765mm,,,,,,,,,
2017 Hyundai Creta 1.6 VTVT SX Plus Dual Tone,₹12 Lakh,"Thygaraya Nagar, Chennai",2017,Expired,Petrol,5 Seats,"30,000 Kms",Chennai,First Owner,1591 cc,Manual,2017,1591 cc,121.3 bhp,5,FWD,15.29 kmpl,,,,190mm,,,,,,,,
2021 Mahindra Thar LX 4WD Convert Top AT BSVI,₹14.50 Lakh,"Vadapalani, Chennai",Dec 2021,Comprehensive,Petrol,4 Seats,"40,000 Kms",Chennai,First Owner,1997 cc,Automatic,2021,1997 cc,150 bhp,4,4X4,15.2 kmpl,,,,226mm,,,,,,,,
2020 Hyundai Creta SX Diesel,₹11.50 Lakh,"Thygaraya Nagar, Chennai",Nov 2020,Comprehensive,Diesel,5 Seats,"39,631 Kms",Kanchipuram,First Owner,1493 cc,Manual,2020,1493 cc,113.45 bhp,5,2WD,18 kmpl,Diesel,,,,,,,,,,,
2019 Hyundai Xcent 1.2 VTVT S,₹5.60 Lakh,"Airport, Chennai",Feb 2020,Comprehensive,Petrol,5 Seats,"44,255 Kms",Chennai,First Owner,1197 cc,Manual,2019,1197 cc,81.86 bhp,,,20.14 kmpl,Petrol,2,,,,,,,,,,
2018 Maruti Swift LXI,₹5.25 Lakh,"Chromepet, Chennai",Jul 2018,Comprehensive,Petrol,5 Seats,"34,471 Kms",red hills,First Owner,1197 cc,Manual,2018,1197 cc,81.80 bhp,,,21.21 kmpl,Petrol,2,,,,,,,,,,
2017 Chevrolet Cruze LTZ,₹7.50 Lakh,Chennai,2017,Expired,Diesel,5 Seats,"1,20,000 Kms",Tiruchirappalli,First Owner,1998 cc,Manual,2017,1998 cc,163.7 bhp,,,17.9 kmpl,Diesel,,,,,,,,,,,
2023 Tata Tiago XT Rhythm,₹5.90 Lakh,"Thiruverkadu, Chennai",2023,Expired,Petrol,5 Seats,"10,000 Kms",Chennai,First Owner,1199 cc,Manual,2023,1199 cc,84.48 bhp,,,20.09 kmpl,Petrol,,,,,,,,,,242 Litres,4 Star
2022 Volkswagen Virtus GT Plus DSG BSVI,₹16 Lakh,"Thygaraya Nagar, Chennai",2022,Expired,Petrol,5 Seats,"30,000 Kms",Chennai,First Owner,1498 cc,Automatic,2022,1498 cc,147.51 bhp,,,18.67 kmpl,Petrol,6,,,,,,,,,,
2021 Audi A4 Premium Plus,₹24.50 Lakh,"Thygaraya Nagar, Chennai",2021,Expired,Petrol,5 Seats,"60,000 Kms",Chennai,First Owner,1998 cc,Automatic,2021,1998 cc,187.74 bhp,5,FWD,,Petrol,,,,241 kmph,,,,,,,
