title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,No. of Airbags,Length,Seating Capacity,Drive Type,Top Speed,Ground Clearance,Boot Space,Global NCAP Safety Rating,Range,Battery Capacity,Charging Time DC,Charging Time AC
2019 Lexus NX 300h,₹40 Lakh,Ahmedabad,2019,Expired,Petrol,5 Seats,"1,00,000 Kms",Ahmedabad,First Owner,2499 cc,Automatic,2019,,,,,,,,,,,,,,,,
2014 Maruti Wagon R VXI BS IV,₹2.75 Lakh,"Naroda, Ahmedabad",Apr 2015,Third Party,Petrol,5 Seats,"77,897 Kms",dahod,Second Owner,998 cc,Manual,2014,998 cc,67.04 bhp,20.51 kmpl,Petrol,,3599mm,,,,,,,,,,
2023 Tata Tiago EV XZ Plus Tech LUX LR,₹9 Lakh,Ahmedabad,2023,Expired,Electric,5 Seats,"20,000 Kms",Ahmedabad,First Owner,,Automatic,2023,,73.75 bhp,,,,,,,,,240 Litres,,315 km,24 kWh,58 Min-25 kW (10-80%),3.6H-7.2 kW (10-100%)
2017 Hyundai Grand i10 1.2 Kappa Magna AT,₹4.75 Lakh,"Ambli, Ahmedabad",Jul 2017,Comprehensive,Petrol,5 Seats,"47,001 Kms",Ahmedabad,Second Owner,1197 cc,Automatic,2017,1197 cc,81.86 bhp,18.9 kmpl,Petrol,2,,,,,,,,,,,
2019 Maruti Baleno 1.2 Delta,₹4.75 Lakh,"Mumatpura, Ahmedabad",May 2019,Third Party,Petrol,5 Seats,"99,662 Kms",Banaskantha,Second Owner,1197 cc,Manual,2019,1197 cc,83.1 bhp,21.4 kmpl,Petrol,,3995mm,,,,,,,,,,
2014 Ford Ecosport 1.5 TDCi Trend BSIV,₹4.17 Lakh,"Gota, Ahmedabad",Apr 2014,Comprehensive,Diesel,5 Seats,"1,04,513 Kms",Vadodara,Second Owner,1498 cc,Manual,2014,1498 cc,98.59 bhp,22.77 kmpl,,,,,FWD,,200mm,,,,,,
2023 Hyundai Venue SX Diesel,₹10 Lakh,Ahmedabad,2023,Expired,Diesel,5 Seats,"50,000 Kms",,First Owner,1493 cc,Manual,2023,1493 cc,114 bhp,24.2 kmpl,Diesel,,,5,FWD,,,,,,,,
2018 Ford Freestyle Titanium Diesel BSIV,₹4.46 Lakh,"Mumatpura, Ahmedabad",Jun 2018,Comprehensive,Diesel,5 Seats,"75,418 Kms",Ahmedabad,First Owner,1498 cc,Manual,2018,1498 cc,98.63 bhp,24.4 kmpl,Diesel,2,,,,,,,,,,,
2018 Hyundai Xcent Petrol,₹5.28 Lakh,"Gota, Ahmedabad",Oct 2018,Comprehensive,Petrol,,"44,677 Kms",Rajkot,First Owner,,Manual,2018,,,,Petrol,,,,,,,,,,,,
2014 BMW 3 Series 320d GT Luxury Line,₹16 Lakh,"Ambli, Ahmedabad",Dec 2014,Comprehensive,Diesel,5 Seats,"67,000 Kms",Ahmedabad,First Owner,1995 cc,Automatic,2014,,,,,,,,,,,,,,,,
2014 Tata Zest Quadrajet 1.3 XMA,₹2.05 Lakh,"Sahil Residency, Ahmedabad",Sept 2014,Expired,Diesel,5 Seats,"1,14,000 Kms",Gandhinagar,Third Owner,1248 cc,Automatic,2014,,,,,,,,,,,,,,,,
2014 Mahindra XUV500 W8 2WD,₹6.50 Lakh,"Makarba, Ahmedabad",Mar 2014,Comprehensive,Diesel,7 Seats,"71,000 Kms",Ahmedabad,First Owner,2179 cc,Manual,2014,2179 cc,140 bhp,15.1 kmpl,Diesel,,,7,FWD,,,,,,,,
2012 Volkswagen Polo Petrol Trendline 1.2L,₹2.25 Lakh,"Sardarnagar, Ahmedabad",May 2012,Third Party,Petrol,5 Seats,"72,000 Kms",Ahmedabad,First Owner,1198 cc,Manual,2012,,,,,,,,,,,,,,,,
2015 Hyundai Grand i10 1.2 CRDi Sportz,₹3.55 Lakh,"Gota, Ahmedabad",May 2015,Comprehensive,Diesel,5 Seats,"65,980 Kms",Ahmedabad,Second Owner,1186 cc,Manual,2015,1186 cc,73.97 bhp,24 kmpl,Diesel,2,,,,,,,,,,,
2020 Maruti Celerio VXi AMT,₹4.50 Lakh,"Naranpura, Ahmedabad",Feb 2020,Expired,Petrol,5 Seats,"33,000 Kms",Ahmedabad,First Owner,998 cc,Automatic,2020,998 cc,67.05 bhp,21.63 kmpl,Petrol,1,,,,,,,,,,,
