title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,No. of Airbags,Length,Seating Capacity,Drive Type,Top Speed,Ground Clearance,Boot Space,Global NCAP Safety Rating,Range,Battery Capacity,Charging Time DC,Charging Time AC
2017 Maruti Ignis 1.2 AMT Delta BSIV,₹4.90 Lakh,"Naranpura Vistar, Ahmedabad",Sept 2017,Comprehensive,Petrol,5 Seats,"55,000 Kms",Ahmedabad,Second Owner,1197 cc,Automatic,2017,1197 cc,81.80 bhp,20.89 kmpl,Petrol,2,,,,,,,,,,,
2016 Honda Jazz 1.2 S i VTEC,₹4.37 Lakh,"Naranpura, Ahmedabad",May 2016,Expired,Petrol,5 Seats,"75,000 Kms",Ahmedabad,Second Owner,1199 cc,Manual,2016,1199 cc,88.7 bhp,18.7 kmpl,Petrol,,3955mm,,,,,,,,,,
2020 Maruti Alto 800 LXI,₹3.51 Lakh,"Krishnanagar, Ahmedabad",Feb 2020,Comprehensive,Petrol,5 Seats,"35,000 Kms",Ahmedabad,First Owner,796 cc,Manual,2020,796 cc,47.33 bhp,22.05 kmpl,Petrol,1,,,,,,,,,,,
2021 Toyota Urban cruiser Premium AT,₹9.51 Lakh,"Naranpura Vistar, Ahmedabad",Aug 2021,Comprehensive,Petrol,5 Seats,"50,000 Kms",Anand,First Owner,1462 cc,Automatic,2021,1462 cc,103.26 bhp,18.76 kmpl,Petrol,2,,,,,,,,,,,
2022 Maruti Baleno Zeta BSVI,₹6.09 Lakh,"Naroda, Ahmedabad",Mar 2022,Third Party,Petrol,5 Seats,"36,213 Kms",patan,First Owner,1197 cc,Manual,2022,1197 cc,88.50 bhp,22.35 kmpl,Petrol,6,,,,,,,,,,,
2019 Honda Amaze S Petrol BSIV,₹5 Lakh,Ahmedabad,2019,Expired,Petrol,5 Seats,"40,000 Kms",,Second Owner,1199 cc,Manual,2019,1199 cc,88.76 bhp,19.5 kmpl,Petrol,2,,,,,,,,,,,
2013 Nissan Micra Active XL Petrol,₹2.39 Lakh,"Gota, Ahmedabad",Jan 2014,Comprehensive,Petrol,5 Seats,"46,684 Kms",Surat,First Owner,1198 cc,Manual,2013,,,,,,,,,,,,,,,,
2014 Honda Mobilio S i-VTEC,₹2.90 Lakh,Ahmedabad,2014,Expired,Petrol,7 Seats,"80,000 Kms",Ahmedabad,Third Owner,1497 cc,Manual,2014,1497 cc,117.3 bhp,17.3 kmpl,Petrol,,,7,,,,,,,,,
2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹5.76 Lakh,"Gota, Ahmedabad",May 2019,Comprehensive,Petrol,5 Seats,"48,887 Kms",Ahmedabad,First Owner,1197 cc,Manual,2019,1197 cc,81.86 bhp,18.9 kmpl,Petrol,2,,,,,,,,,,,
2016 Fiat Punto EVO 1.3 Emotion,₹1.35 Lakh,"Sahil Residency, Ahmedabad",Oct 2016,Third Party,Diesel,5 Seats,"1,35,000 Kms",Ahmedabad,First Owner,1248 cc,Manual,2016,1248 cc,91.7 bhp,20.5 kmpl,Diesel,2,,,,,,,,,,,
2021 Maruti S Cross Zeta,₹7.80 Lakh,"Gota, Ahmedabad",Oct 2021,Comprehensive,Petrol,5 Seats,"37,918 Kms",Vadodara,First Owner,1462 cc,Manual,2021,1462 cc,103.25 bhp,18.55 kmpl,Petrol,,,,FWD,,,,,,,,
2021 Honda Amaze V CVT Petrol,₹7.50 Lakh,"Ambli, Ahmedabad",Apr 2021,Expired,Petrol,5 Seats,"58,000 Kms",Ahmedabad,First Owner,1199 cc,Automatic,2021,1199 cc,88.76 bhp,18.3 kmpl,Petrol,2,,,,,,,,,,,
2015 Hyundai EON Magna,₹3.01 Lakh,"Gota, Ahmedabad",Jan 2016,Comprehensive,Petrol,5 Seats,"30,916 Kms",Surat,First Owner,814 cc,Manual,2015,814 cc,,22 kmpl,Petrol,,3495 mm,,,,,,,,,,
2015 Volvo XC60 D4 SUMMUM,₹9.95 Lakh,"Makarba, Ahmedabad",Sept 2016,Expired,Diesel,5 Seats,"74,000 Kms",Ahmedabad,First Owner,1984 cc,Automatic,2015,1984 cc,181 bhp,,Diesel,,,5,FWD,195 kmph,,,,,,,
2012 Jaguar XJ 3.0L,₹10.99 Lakh,"Indirapuram, Ghaziabad",Nov 2012,Third Party,Diesel,4 Seats,"76,000 Kms",New Delhi,First Owner,2993 cc,Automatic,2012,2993 cc,271.2 bhp,,Diesel,,,,,250km/hr kmph,,,,,,,
2015 Hyundai Grand i10 Magna,₹3.63 Lakh,"Naroda, Ahmedabad",Oct 2015,Comprehensive,Petrol,5 Seats,"61,390 Kms",Ahmedabad,First Owner,1197 cc,Manual,2015,1197 cc,82 bhp,18.9 kmpl,Petrol,,3765mm,,,,,,,,,,
2018 Toyota Innova Crysta 2.4 G MT BSIV,₹14.90 Lakh,"Naranpura, Ahmedabad",Sept 2018,Expired,Diesel,7 Seats,"63,000 Kms",Ahmedabad,First Owner,2393 cc,Manual,2018,2393 cc,147.8 bhp,,Diesel,,,7,,,,,,,,,
2015 Hyundai Xcent 1.2 Kappa S,₹3.08 Lakh,Ahmedabad,2015,Expired,Petrol,5 Seats,"80,000 Kms",dungarpur,First Owner,1197 cc,Manual,2015,1197 cc,82 bhp,19.1 kmpl,Petrol,,,,,,,,,,,,
2016 Maruti Vitara Brezza ZDi,₹5.51 Lakh,"Mumatpura, Ahmedabad",Aug 2016,Third Party,Diesel,5 Seats,"1,10,814 Kms",Surat,First Owner,1248 cc,Manual,2016,1248 cc,88.5 bhp,24.3 kmpl,,,,,FWD,,198mm,,,,,,
2017 Maruti Ciaz Petrol,₹5.15 Lakh,"Gota, Ahmedabad",Jan 2018,Comprehensive,Diesel,,"84,306 Kms",Ahmedabad,Second Owner,1248 cc,Manual,2017,1248 cc,88.5 bhp,,Diesel,,,,,,,,,,,,
2019 Hyundai Santro Sportz,₹4.52 Lakh,"Gota, Ahmedabad",Dec 2019,Comprehensive,Petrol,5 Seats,"28,403 Kms",Rajkot,First Owner,1086 cc,Manual,2019,1086 cc,68.05 bhp,20.3 kmpl,Petrol,2,,,,,,,,,,,
2019 Maruti Swift Dzire AMT VXI,₹5.70 Lakh,"Vasna, Ahmedabad",Oct 2019,Expired,Petrol,5 Seats,"58,900 Kms",Banaskantha,First Owner,1197 cc,Automatic,2019,1197 cc,81.80 bhp,21.21 kmpl,Petrol,2,,,,,,,,,,,
2022 Hyundai Creta SX BSVI,₹11.79 Lakh,"Naroda, Ahmedabad",Jun 2022,Third Party,Petrol,5 Seats,"43,795 Kms",Sabarkantha,Second Owner,1497 cc,Manual,2022,1497 cc,113.18 bhp,14 kmpl,Petrol,6,,5,,,,,,,,,
2020 Maruti S-Presso VXI,₹3.41 Lakh,"Gota, Ahmedabad",May 2020,Comprehensive,Petrol,5 Seats,"59,069 Kms",Rajkot,First Owner,998 cc,Manual,2020,998 cc,65.71 bhp,24.76 kmpl,Petrol,,,,,,,240 Litres,,,,,
2015 Maruti Ertiga VDI,₹6.51 Lakh,"Naranpura Vistar, Ahmedabad",Jan 2015,Comprehensive,Diesel,7 Seats,"84,000 Kms",Mehsana,First Owner,1248 cc,Manual,2015,,,,,,,,,,,,,,,,
2021 Kia Sonet GTX Plus Turbo DCT BSVI,₹9.50 Lakh,Ahmedabad,2021,Expired,Petrol,5 Seats,"90,000 Kms",Ahmedabad,First Owner,998 cc,Automatic,2021,998 cc,118.36 bhp,18.3 kmpl,Petrol,,,5,FWD,,,,,,,,
2022 Hyundai Creta SX Diesel BSVI,₹16.50 Lakh,"Makarba, Ahmedabad",Mar 2022,Comprehensive,Diesel,5 Seats,"40,000 Kms",Vadodara,First Owner,1493 cc,Manual,2022,1493 cc,113.45 bhp,18 kmpl,Diesel,6,,5,,,,,,,,,
2021 Hyundai Santro Era Executive,₹4 Lakh,"Navrangpura, Ahmedabad",Jun 2021,Expired,Petrol,5 Seats,"68,000 Kms",Ahmedabad,First Owner,1086 cc,Manual,2021,1086 cc,68.05 bhp,20.3 kmpl,Petrol,2,,,,,,,,,,,
2019 Ford Aspire Trend Plus CNG,₹3.80 Lakh,Ahmedabad,2019,Expired,CNG,5 Seats,"60,000 Kms",New Delhi,First Owner,1194 cc,Manual,2019,1194 cc,94.89 bhp,20.4 km/kg,CNG,2,,,,,,,,,,,
2016 Honda Brio S MT,₹3.50 Lakh,"Navrangpura, Ahmedabad",Oct 2016,Comprehensive,Petrol,5 Seats,"52,000 Kms",Ahmedabad,First Owner,1198 cc,Manual,2016,1198 cc,86.8 bhp,19.4 kmpl,Petrol,,3610mm,,,,,,,,,,
2019 Maruti XL6 Alpha,₹3.25 Lakh,"Vasna, Ahmedabad",Jun 2019,Expired,Petrol,6 Seats,"76,700 Kms",Ahmedabad,First Owner,1462 cc,Manual,2019,,,,,,,,,,,,,,,,
2016 Skoda Rapid 1.5 TDI Active,₹4.45 Lakh,"Vasna, Ahmedabad",Apr 2016,Expired,Diesel,5 Seats,"85,000 Kms",Ahmedabad,Second Owner,1498 cc,Manual,2016,1498 cc,103.52 bhp,21.14 kmpl,Diesel,,,,,,,,,,,,
2021 Maruti Wagon R VXI,₹4.30 Lakh,Ahmedabad,2021,Expired,Petrol,5 Seats,"20,000 Kms",Ahmedabad,First Owner,998 cc,Manual,2021,998 cc,67.05 bhp,21.79 kmpl,Petrol,1,,,,,,,,,,,
2010 Maruti Swift 1.2 ZXI BSII,₹2.10 Lakh,"Sardarnagar, Ahmedabad",Aug 2010,Third Party,Petrol,5 Seats,"55,000 Kms",Ahmedabad,Second Owner,1298 cc,Manual,2010,1298 cc,,16.1 kmpl,Petrol,,3760mm,,,,,,,,,,
2012 Hyundai i10 Era,₹2.30 Lakh,"Vasna, Ahmedabad",Mar 2013,Third Party,Petrol,5 Seats,"78,400 Kms",Mehsana,Third Owner,1086 cc,Manual,2012,1086 cc,68.05 bhp,19.81 kmpl,Petrol,,3585mm,,,,,,,,,,
2018 BMW X3 xDrive 20d xLine,₹36.90 Lakh,"Chattarpur, New Delhi",Dec 2018,Comprehensive,Diesel,5 Seats,"35,000 Kms",Gurgaon,Second Owner,1995 cc,Automatic,2018,,,,,,,,,,,,,,,,
2021 Maruti Baleno Zeta Diesel,₹6.46 Lakh,"Gota, Ahmedabad",Jun 2021,Comprehensive,Diesel,5 Seats,"26,224 Kms",Vadodara,First Owner,1248 cc,Manual,2021,1248 cc,74 bhp,27.39 kmpl,Diesel,2,,,,,,,,,,,
2020 Mercedes-Benz GLC 200,₹39.50 Lakh,Ahmedabad,2020,Expired,Petrol,5 Seats,"40,000 Kms",,First Owner,1991 cc,Automatic,2020,1991 cc,197 bhp,,Petrol,,,,AWD,217 kmph,,,,,,,
2016 Honda Jazz 1.2 VX i VTEC,₹5.25 Lakh,"Paldi, Ahmedabad",Oct 2016,Comprehensive,Petrol,5 Seats,"36,000 Kms",Ahmedabad,First Owner,1199 cc,Manual,2016,1199 cc,88.7 bhp,18.7 kmpl,Petrol,,3955mm,,,,,,,,,,
2021 Mahindra XUV500 W7,₹9.74 Lakh,"Gota, Ahmedabad",Sept 2021,Comprehensive,Diesel,7 Seats,"97,486 Kms",Vadodara,First Owner,2179 cc,Manual,2021,,,,,,,,,,,,,,,,
2014 Honda Mobilio V i-DTEC,₹3.90 Lakh,"Sardarnagar, Ahmedabad",Jul 2014,Third Party,Diesel,7 Seats,"72,000 Kms",Ahmedabad,Second Owner,1498 cc,Manual,2014,1498 cc,98.6 bhp,24.2 kmpl,Diesel,,,7,,,,,,,,,
2014 Chevrolet Enjoy TCDi LTZ 7 Seater,₹3.30 Lakh,"Ghodasar, Ahmedabad",Mar 2014,Third Party,Diesel,7 Seats,"88,000 Kms",Ahmedabad,Second Owner,1248 cc,Manual,2014,1248 cc,73.8 bhp,18.2 kmpl,Diesel,,,7,,,,,,,,,
2015 Hyundai Xcent 1.2 Kappa S Option,₹3.80 Lakh,"Naroda, Ahmedabad",Jun 2015,Third Party,Petrol,5 Seats,"68,678 Kms",Gandhinagar,Second Owner,1197 cc,Manual,2015,1197 cc,81.86 bhp,19.1 kmpl,Petrol,,,,,,,,,,,,
2021 Maruti Ignis Zeta BSVI,₹2 Lakh,Ahmedabad,2021,Expired,Petrol,5 Seats,"30,000 Kms",Ahmedabad,First Owner,1197 cc,Manual,2021,1197 cc,81.80 bhp,20.89 kmpl,Petrol,2,,,,,,,,,,,
2022 Maruti Swift Dzire VXI BSVI,₹5.50 Lakh,Ahmedabad,2022,Expired,Petrol,5 Seats,"50,000 Kms",Mehsana,First Owner,1197 cc,Manual,2022,1197 cc,88.50 bhp,22.41 kmpl,Petrol,2,,,,,,,,,,,
2016 Honda City i DTec SV,₹5.25 Lakh,"Navrangpura, Ahmedabad",Oct 2016,Expired,Diesel,5 Seats,"58,000 Kms",Ahmedabad,First Owner,1498 cc,Manual,2016,1498 cc,98.6 bhp,26 kmpl,Diesel,,,,,,,,,,,,
2017 Maruti Ciaz 1.4 Zeta,₹5.15 Lakh,Ahmedabad,2017,Expired,Petrol,5 Seats,"40,000 Kms",Ahmedabad,First Owner,1373 cc,Manual,2017,1373 cc,91.1 bhp,20.73 kmpl,Petrol,,,,,,,,,,,,
2011 Tata Indica V2 eXeta GLS,₹1.41 Lakh,"Naranpura Vistar, Ahmedabad",Nov 2011,Comprehensive,Petrol,5 Seats,"18,000 Kms",Ahmedabad,First Owner,1195 cc,Manual,2011,1195 cc,64.4 bhp,16.84 kmpl,Petrol,,3690mm,,,,,,,,,,
2015 Land Rover Range Rover Evoque Pure,₹22.90 Lakh,"Chattarpur, New Delhi",Jan 2015,Comprehensive,Diesel,5 Seats,"68,000 Kms",New Delhi,First Owner,2179 cc,Automatic,2015,2179 cc,187.7 bhp,,Diesel,,,5,4WD,195 kmph,,,,,,,
2017 Hyundai i20 Magna 1.2,₹5.85 Lakh,"Naranpura Vistar, Ahmedabad",Aug 2017,Expired,Petrol,5 Seats,"59,000 Kms",Mehsana,First Owner,1197 cc,Manual,2017,,,,,,,,,,,,,,,,
2021 Hyundai Alcazar Prestige Diesel,₹15 Lakh,"Ghatlodia, Ahmedabad",Jul 2021,Expired,Diesel,6 Seats,"61,000 Kms",Gandhinagar,First Owner,1493 cc,Manual,2021,1493 cc,113.42 bhp,20.4 kmpl,Diesel,2,,7,,,,,,,,,
2015 Honda Amaze 2nd Gen VX,₹4.29 Lakh,"Gota, Ahmedabad",Feb 2017,Comprehensive,Petrol,5 Seats,"52,034 Kms",Ahmedabad,First Owner,1199 cc,Manual,2015,1199 cc,88.50 bhp,18.6 kmpl,Petrol,,,,,,,420 Litres,,,,,
2013 Volkswagen Polo 1.2 MPI Comfortline,₹2.10 Lakh,Ahmedabad,2013,Expired,Petrol,5 Seats,"1,20,000 Kms",Ahmedabad,First Owner,1198 cc,Manual,2013,1198 cc,74 bhp,16.47 kmpl,Petrol,,3971mm,,,,,,,,,,
2017 Maruti Wagon R LXI CNG,₹3.95 Lakh,"Bopal, Ahmedabad",Mar 2017,Comprehensive,CNG,5 Seats,"46,000 Kms",Ahmedabad,First Owner,998 cc,Manual,2017,998 cc,58.16 bhp,26.6 km/kg,CNG,,3599mm,,,,,,,,,,
2020 Maruti Swift AMT VXI,₹4.99 Lakh,"Abasana, Ahmedabad",Jul 2020,Expired,Petrol,5 Seats,"61,000 Kms",Ahmedabad,Second Owner,1197 cc,Automatic,2020,1197 cc,81.80 bhp,21.21 kmpl,Petrol,2,,,,,,,,,,,
2015 Nissan Micra XL,₹3.75 Lakh,"Naranpura, Ahmedabad",Mar 2016,Expired,Petrol,5 Seats,"64,000 Kms",Ahmedabad,First Owner,1198 cc,Manual,2015,1198 cc,75 bhp,18.44 kmpl,Petrol,,3825mm,,,,,,,,,,
2023 MG Hector Plus Sharp Pro,₹17.50 Lakh,Ahmedabad,2023,Expired,Petrol,6 Seats,"10,000 Kms",Ahmedabad,First Owner,1451 cc,Manual,2023,1451 cc,141.04 bhp,13.79 kmpl,Petrol,,,"6, 7",FWD,,,,,,,,
2012 Honda City 1.5 V AT Sunroof,₹3.49 Lakh,"Ambawadi, Ahmedabad",Jul 2012,Comprehensive,Petrol,5 Seats,"85,304 Kms",Ahmedabad,First Owner,1497 cc,Automatic,2012,1497 cc,116.3 bhp,16.8 kmpl,Petrol,,,,,,,,,,,,
2017 Audi Q3 30 TDI,₹18.90 Lakh,"Chattarpur, New Delhi",Jan 2017,Comprehensive,Diesel,5 Seats,"48,000 Kms",Meerut,Second Owner,1968 cc,Manual,2017,,,,,,,,,,,,,,,,
2013 Maruti Alto 800 LXi,₹2.19 Lakh,"Gota, Ahmedabad",Jan 2014,Comprehensive,Petrol,5 Seats,"39,290 Kms",Bharuch,First Owner,796 cc,Manual,2013,796 cc,46.3 bhp,19.7 kmpl,Petrol,,3495mm,,,,,,,,,,
2017 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹4.49 Lakh,"Mumatpura, Ahmedabad",Sept 2017,Expired,Petrol,5 Seats,"31,244 Kms",Ahmedabad,First Owner,1197 cc,Manual,2017,1197 cc,81.86 bhp,18.9 kmpl,Petrol,2,,,,,,,,,,,
2010 Maruti Wagon R LXI BS IV,₹1.75 Lakh,"Naranpura, Ahmedabad",Mar 2010,Comprehensive,Petrol,5 Seats,"74,000 Kms",Ahmedabad,Second Owner,998 cc,Manual,2010,998 cc,67.1 bhp,18.9 kmpl,Petrol,,3595mm,,,,,,,,,,
2020 Honda Amaze VX i-VTEC,₹6.82 Lakh,"Gota, Ahmedabad",Nov 2020,Comprehensive,Petrol,5 Seats,"40,717 Kms",Ahmedabad,First Owner,1198 cc,Manual,2020,1198 cc,86.7 bhp,17.8 kmpl,Petrol,,,,,,,,,,,,
2022 Maruti Alto 800 LXI BSIV,₹3.90 Lakh,"Krishnanagar, Ahmedabad",Apr 2022,Expired,Petrol,5 Seats,"30,000 Kms",Ahmedabad,First Owner,796 cc,Manual,2022,796 cc,47.3 bhp,24.7 kmpl,Petrol,,3445mm,,,,,,,,,,
2019 Tata Harrier XT BSIV,₹10 Lakh,Ahmedabad,2019,Expired,Diesel,5 Seats,"70,000 Kms",Gandhinagar,Second Owner,1956 cc,Manual,2019,1956 cc,138.1 bhp,17 kmpl,,,,5,FWD,,205 mm,,,,,,
2016 Honda Jazz 1.2 V i VTEC,₹4.30 Lakh,"Ghodasar, Ahmedabad",Sept 2016,Comprehensive,Petrol,5 Seats,"65,000 Kms",Ahmedabad,First Owner,1199 cc,Manual,2016,1199 cc,88.7 bhp,18.7 kmpl,Petrol,,3955mm,,,,,,,,,,
2014 Honda City i VTEC SV,₹4.75 Lakh,"Makarba, Ahmedabad",Jun 2014,Comprehensive,Petrol,5 Seats,"64,000 Kms",Ahmedabad,First Owner,1497 cc,Manual,2014,1497 cc,117.3 bhp,17.4 kmpl,Petrol,,,,,,,,,,,,
2023 Kia Sonet GTX Plus Diesel iMT,₹10.76 Lakh,"Gota, Ahmedabad",Jun 2023,Comprehensive,Diesel,5 Seats,"9,557 Kms",Ahmedabad,Second Owner,1493 cc,Automatic,2023,1493 cc,114.41 bhp,,Diesel,6,,5,2WD,,,,,,,,
2010 Maruti Alto K10 2010-2014 VXI,₹1.10 Lakh,Ahmedabad,2010,Expired,Petrol,5 Seats,"1,60,000 Kms",Vadodara,Third Owner,998 cc,Manual,2010,998 cc,67.1 bhp,20.92 kmpl,Petrol,,3620mm,,,,,,,,,,
2018 BMW 5 Series 530i Sport Line,₹37.90 Lakh,"Chattarpur, New Delhi",Jan 2018,Comprehensive,Petrol,5 Seats,"60,000 Kms",Gurgaon,Second Owner,1998 cc,Automatic,2018,,,,,,,,,,,,,,,,
2016 Tata Zest Revotron 1.2T XM,₹3.75 Lakh,"Makarba, Ahmedabad",Feb 2016,Expired,Petrol,5 Seats,"91,000 Kms",Ahmedabad,First Owner,1193 cc,Manual,2016,1193 cc,88.7 bhp,17.57 kmpl,Petrol,2,,,,,,,,,,,
2018 Jeep Compass 2.0 Limited,₹8.55 Lakh,Ahmedabad,2018,Expired,Diesel,5 Seats,"1,00,000 Kms",Ahmedabad,First Owner,1956 cc,Manual,2018,1956 cc,170 bhp,17.1 kmpl,,,,5,4X2,,178mm,,,,,,
2018 Honda Amaze V CVT Petrol BSIV,₹5.25 Lakh,"Navrangpura, Ahmedabad",Jun 2018,Expired,Petrol,5 Seats,"68,000 Kms",Ahmedabad,First Owner,1199 cc,Automatic,2018,1199 cc,88.76 bhp,19 kmpl,Petrol,2,,,,,,,,,,,
2017 Mercedes-Benz S-Class S 350 d,₹42.90 Lakh,"Chattarpur, New Delhi",Jan 2017,Comprehensive,Diesel,5 Seats,"54,000 Kms",Chandigarh,Second Owner,2925 cc,Automatic,2017,,,,,,,,,,,,,,,,
2012 Maruti Swift VXI,₹3 Lakh,"Sardarnagar, Ahmedabad",Jul 2012,Third Party,Petrol,5 Seats,"35,000 Kms",Ahmedabad,First Owner,1197 cc,Manual,2012,1197 cc,85.8 bhp,18.6 kmpl,Petrol,,3850mm,,,,,,,,,,
2021 Hyundai Venue SX Diesel,₹8.50 Lakh,Ahmedabad,2021,Expired,Diesel,5 Seats,"1,00,000 Kms",,First Owner,1493 cc,Manual,2021,1493 cc,98.6 bhp,23.7 kmpl,Diesel,,,,FWD,,,,,,,,
2015 Honda City i VTEC CVT SV,₹5.70 Lakh,"Ambli, Ahmedabad",Jul 2015,Expired,Petrol,5 Seats,"60,000 Kms",Ahmedabad,First Owner,1497 cc,Automatic,2015,1497 cc,117.3 bhp,18 kmpl,Petrol,,,,,,,,,,,,
2021 Ford Ecosport Titanium Diesel,₹8.75 Lakh,"Navrangpura, Ahmedabad",Apr 2021,Comprehensive,Diesel,5 Seats,"85,000 Kms",Ahmedabad,First Owner,1498 cc,Manual,2021,1498 cc,99.23 bhp,21.7 kmpl,Diesel,,,,FWD,,,,,,,,
2016 Hyundai Verna 1.6 CRDi SX,₹6.45 Lakh,"Gota, Ahmedabad",May 2016,Comprehensive,Diesel,5 Seats,"72,000 Kms",Ahmedabad,First Owner,1582 cc,Manual,2016,1582 cc,126.2 bhp,23.9 kmpl,Diesel,,,,,,,,,,,,
2017 Maruti Celerio ZXI,₹3.60 Lakh,"Gota, Ahmedabad",May 2017,Comprehensive,Petrol,5 Seats,"71,621 Kms",Ahmedabad,First Owner,998 cc,Manual,2017,998 cc,67.05 bhp,21.63 kmpl,Petrol,1,,,,,,,,,,,
2022 Mahindra XUV300 W8 Option Diesel BSVI,₹10.25 Lakh,"Ghatlodia, Ahmedabad",Mar 2022,Comprehensive,Diesel,5 Seats,"63,000 Kms",Ahmedabad,First Owner,1497 cc,Manual,2022,1497 cc,115.05 bhp,20.1 kmpl,Diesel,6,,5,,,,,,,,,
2017 Hyundai i20 1.2 Spotz,₹5.65 Lakh,"Ambli, Ahmedabad",Sept 2017,Comprehensive,Petrol,5 Seats,"90,208 Kms",Kheda,First Owner,1197 cc,Manual,2017,1197 cc,81.83 bhp,18.6 kmpl,Petrol,,3985mm,,,,,,,,,,
2024 MG Astor Sharp Pro CVT,₹14.90 Lakh,"Makarba, Ahmedabad",Sept 2024,Expired,Petrol,5 Seats,"1,800 Kms",Ahmedabad,First Owner,1498 cc,Automatic,2024,1498 cc,108.49 bhp,14.82 kmpl,Petrol,,,5,FWD,,,,,,,,
2017 Mahindra XUV500 W9,₹9.23 Lakh,"Gota, Ahmedabad",Feb 2018,Comprehensive,Diesel,7 Seats,"69,628 Kms",Ahmedabad,First Owner,2179 cc,Manual,2017,,,,,,,,,,,,,,,,
2018 Honda WR-V i-DTEC VX,₹6.61 Lakh,"Naranpura Vistar, Ahmedabad",Jan 2018,Comprehensive,Diesel,5 Seats,"60,000 Kms",Ahmedabad,First Owner,1498 cc,Manual,2018,1498 cc,98.6 bhp,25.5 kmpl,,,,,FWD,,188mm,,,,,,
2017 Honda City i-DTEC ZX,₹7.50 Lakh,"Gota, Ahmedabad",Oct 2017,Comprehensive,Diesel,5 Seats,"65,000 Kms",Ahmedabad,First Owner,1498 cc,Manual,2017,1498 cc,97.9 bhp,25.6 kmpl,Diesel,6,,,,,,,,,,,
2022 Tata Nexon XZ Plus,₹10.12 Lakh,"Gota, Ahmedabad",Jan 2022,Comprehensive,Petrol,5 Seats,"8,244 Kms",Banaskantha,First Owner,1199 cc,Manual,2022,1199 cc,118.35 bhp,17.33 kmpl,Petrol,,,,,,209,,5 Star,,,,
2014 Mercedes-Benz E-Class E 200 CGI,₹18.90 Lakh,"Chattarpur, New Delhi",Jan 2014,Comprehensive,Petrol,5 Seats,"58,000 Kms",nurpur,Second Owner,1991 cc,Automatic,2014,,,,,,,,,,,,,,,,
2017 Hyundai Grand i10 1.2 CRDi Magna,₹3.60 Lakh,"Vasna, Ahmedabad",May 2017,Expired,Diesel,5 Seats,"56,200 Kms",Ahmedabad,Second Owner,1186 cc,Manual,2017,1186 cc,73.97 bhp,24 kmpl,Diesel,2,,,,,,,,,,,
2014 Maruti Swift Dzire VXI,₹3.69 Lakh,"Mumatpura, Ahmedabad",Mar 2014,Expired,Petrol,5 Seats,"90,278 Kms",Ahmedabad,First Owner,1197 cc,Manual,2014,1197 cc,88.50 bhp,22.41 kmpl,Petrol,,,,,,,378 Litres,3 Star,,,,
2021 Skoda Rapid 1.6 MPI Rider Edition,₹7.26 Lakh,"Gota, Ahmedabad",Jun 2021,Comprehensive,Petrol,5 Seats,"34,060 Kms",Surendranagar,First Owner,1598 cc,Manual,2021,1598 cc,103.2 bhp,15.41 kmpl,Petrol,,,,,,,,,,,,
2022 Hyundai Creta SX Opt Diesel AT BSVI,₹16.75 Lakh,"Gota, Ahmedabad",Mar 2022,Comprehensive,Diesel,5 Seats,"45,000 Kms",Gandhinagar,First Owner,1493 cc,Automatic,2022,1493 cc,113.45 bhp,18 kmpl,Diesel,6,,5,,,,,,,,,
2014 Maruti Swift VXI,₹3.49 Lakh,"Gota, Ahmedabad",Feb 2014,Comprehensive,Petrol,5 Seats,"81,732 Kms",Ahmedabad,Second Owner,1197 cc,Manual,2014,1197 cc,85.8 bhp,18.6 kmpl,Petrol,,3850mm,,,,,,,,,,
2020 Maruti Ciaz Petrol,₹7.88 Lakh,"Gota, Ahmedabad",Jun 2020,Comprehensive,Diesel,,"56,216 Kms",Ahmedabad,First Owner,1248 cc,Manual,2020,1248 cc,88.5 bhp,,Diesel,,,,,,,,,,,,
2019 Maruti S Cross Zeta DDiS 200 SH,₹7.90 Lakh,"Naranpura, Ahmedabad",Nov 2019,Expired,Diesel,5 Seats,"64,000 Kms",Ahmedabad,First Owner,1248 cc,Manual,2019,1248 cc,88.5 bhp,25.1 kmpl,,,,,FWD,,180mm,,,,,,
2020 Mahindra XUV500 W7,₹9.07 Lakh,"Gota, Ahmedabad",Mar 2020,Comprehensive,Diesel,7 Seats,"75,464 Kms",Jamnagar,Second Owner,2179 cc,Manual,2020,2179 cc,152.87 bhp,15.1 kmpl,,,,7,FWD,,200mm,,,,,,
2022 Maruti Alto 800 VXI,₹3.94 Lakh,"Gota, Ahmedabad",Aug 2022,Comprehensive,Petrol,5 Seats,"11,360 Kms",Ahmedabad,First Owner,796 cc,Manual,2022,796 cc,47.3 bhp,24.7 kmpl,Petrol,,3430mm,,,,,,,,,,
2019 Hyundai Creta 1.6 SX Automatic,₹9.90 Lakh,"Makarba, Ahmedabad",Mar 2019,Expired,Petrol,5 Seats,"48,000 Kms",Ahmedabad,Second Owner,1591 cc,Automatic,2019,1591 cc,121.3 bhp,14.8 kmpl,Petrol,,,5,FWD,,,,,,,,
