Power (bhp),Engine Displacement (cc),Year of Manufacture,Registration Year,Fuel Type,Mileage (kmpl),Area,Brand,price (Lakh)
88.0,2360.0,2009,2009,3,11.3,60,21,3
88.0,1248.0,2015,2015,3,18.9,177,10,424
167.0,1956.0,2023,2023,0,14.6,99,26,17
148.0,1999.0,2020,2020,0,18.9,70,14,4675
81.0,1197.0,2021,2021,3,20.7,162,10,595
81.0,1197.0,2020,2020,3,17.52,172,10,775
147.0,1498.0,2022,2022,3,18.47,27,28,13
118.0,998.0,2019,2019,3,18.15,177,10,789
141.0,1451.0,2021,2021,3,8.61,8,16,1150
119.0,1498.0,2018,2018,3,18.6,177,9,730
126.0,1582.0,2017,2017,0,20.5,107,10,853
81.0,1197.0,2021,2021,3,17.52,48,10,771
81.0,1197.0,2014,2014,3,18.9,40,10,347
81.0,1197.0,2020,2020,3,17.52,8,10,725
113.0,1493.0,2021,2021,0,18.0,11,13,15
82.0,1197.0,2016,2016,3,18.9,99,10,350
67.0,998.0,2018,2018,3,23.1,11,18,445
81.0,1197.0,2011,2011,3,20.52,40,18,234
121.0,1591.0,2020,2020,3,15.8,177,10,1475
126.0,1582.0,2018,2018,0,19.67,177,10,921
86.0,1197.0,2021,2021,3,19.65,177,10,835
174.0,2755.0,2020,2020,0,14.24,84,27,31
71.0,999.0,2020,2020,3,20.0,177,24,540
82.0,1197.0,2013,2013,3,18.5,151,10,321
168.0,2982.0,2012,2012,0,12.55,32,27,1045
81.0,1197.0,2017,2017,3,18.6,11,10,525
177.0,1798.0,2017,2017,3,14.67,27,25,1349
100.0,1493.0,2018,2019,0,18.49,7,17,625
140.0,2179.0,2018,2018,0,16.0,61,17,899
86.0,1198.0,2022,2022,3,17.8,107,9,815
67.0,999.0,2017,2017,3,24.04,151,24,325
160.0,1368.0,2021,2021,3,14.1,7,12,1875
55.0,998.0,2021,2021,0,32.73,40,18,437
58.0,998.0,2021,2021,0,32.52,162,18,545
117.0,1497.0,2019,2019,3,18.0,7,9,895
88.0,1199.0,2015,2015,3,18.7,99,9,366
117.0,1497.0,2017,2017,3,18.0,85,9,775
81.0,1197.0,2013,2013,3,21.21,40,18,383
141.0,1248.0,2022,2022,1,18.9,177,26,895
88.0,2184.0,2023,2023,0,18.9,6,17,1940
117.0,1497.0,2019,2019,3,17.4,54,9,775
103.0,1462.0,2018,2018,3,20.04,177,18,678
160.0,1368.0,2021,2021,3,14.1,70,12,1875
58.0,998.0,2020,2020,0,18.9,107,18,449
71.0,999.0,2022,2022,3,20.0,177,24,639
187.0,1998.0,2023,2023,3,18.9,52,1,3395
59.0,1086.0,2022,2022,0,30.48,107,10,543
88.0,998.0,2015,2015,3,18.9,65,18,373
117.0,1497.0,2017,2017,3,17.8,98,9,675
118.0,998.0,2019,2019,3,18.15,85,10,875
82.0,1197.0,2013,2013,3,18.5,151,10,325
88.0,2494.0,2011,2012,0,18.9,173,27,625
83.0,1197.0,2018,2018,3,21.4,95,18,625
108.0,1498.0,2022,2023,3,18.9,107,16,997
86.0,1198.0,2013,2014,3,19.4,107,9,235
152.0,2179.0,2017,2017,0,15.1,40,17,886
104.0,1498.0,2018,2018,3,14.99,65,24,659
88.0,1496.0,2011,2011,3,17.6,8,27,199
88.0,1197.0,2012,2013,3,18.9,151,10,295
58.0,998.0,2021,2021,0,26.6,107,18,545
98.0,999.0,2021,2021,3,18.24,92,24,675
108.0,1497.0,2018,2018,0,21.5,89,26,695
118.0,998.0,2020,2020,3,18.15,177,10,895
81.0,1197.0,2021,2021,3,20.52,173,18,530
114.0,1493.0,2022,2022,0,18.9,84,13,1750
68.0,1086.0,2020,2020,3,20.3,7,10,375
88.0,1248.0,2018,2018,0,18.9,65,18,628
84.0,1199.0,2016,2016,3,23.84,99,26,284
73.0,1186.0,2017,2017,0,24.0,89,10,395
188.0,1995.0,2017,2017,0,18.9,99,2,20
156.0,1999.0,2024,2024,3,14.2,6,10,2075
126.0,1582.0,2015,2015,0,19.67,63,10,785
117.0,1497.0,2014,2014,3,18.0,7,9,550
75.0,999.0,2014,2014,3,18.78,107,28,342
86.0,1198.0,2022,2022,3,17.8,48,9,850
126.0,1582.0,2016,2016,0,19.67,101,10,850
88.0,1198.0,2010,2010,3,16.0,11,9,160
58.0,998.0,2015,2015,0,26.6,151,18,350
170.0,1956.0,2017,2017,0,17.1,65,12,749
119.0,1498.0,2022,2022,3,18.3,7,9,1350
67.0,999.0,2018,2018,3,23.01,177,24,344
81.0,1197.0,2015,2015,3,18.9,40,10,367
68.0,1086.0,2021,2021,3,20.3,84,10,450
68.0,1086.0,2019,2019,3,20.3,138,10,389
117.0,1497.0,2016,2016,3,18.0,177,9,551
117.0,1497.0,2018,2018,3,18.0,125,9,795
126.0,1582.0,2016,2016,0,20.5,65,10,762
80.0,1197.0,2024,2024,3,24.79,107,18,768
55.0,998.0,2022,2022,0,35.6,32,18,610
75.0,999.0,2016,2016,3,18.78,40,28,446
75.0,999.0,2017,2017,3,19.44,65,28,607
72.0,1199.0,2022,2022,0,26.49,99,26,622
103.0,1462.0,2022,2022,3,20.04,47,18,1045
119.0,1498.0,2020,2020,3,18.3,48,9,844
110.0,1499.0,2014,2014,3,16.5,63,8,4
86.0,1197.0,2022,2022,3,19.65,125,10,875
58.0,998.0,2021,2021,0,32.52,110,18,513
235.0,1969.0,2020,2020,0,18.9,7,29,4490
88.0,1497.0,2010,2010,3,16.8,47,9,265
74.0,1248.0,2016,2016,0,27.39,177,18,495
68.0,1086.0,2014,2014,3,19.81,60,10,305
103.0,1197.0,2016,2016,3,18.19,27,28,525
86.0,1199.0,2022,2023,3,20.09,65,26,594
187.0,1984.0,2021,2021,3,15.81,52,25,2145
362.0,2925.0,2024,2024,0,12.0,52,19,137
113.0,1493.0,2023,2023,0,18.0,70,10,1975
121.0,1591.0,2016,2016,3,17.01,48,10,544
88.0,1248.0,2019,2019,0,24.3,149,18,775
121.0,1591.0,2015,2015,3,15.29,135,10,725
