Power (bhp),Engine Displacement (cc),Year of Manufacture,Registration Year,Fuel Type,Mileage (kmpl),Area,Brand,price (Lakh)
113.0,1497.0,2021,2021,3,16.8,89,13,1225
113.0,1497.0,2022,2022,3,16.8,6,13,1425
82.0,1197.0,2016,2016,3,18.9,138,10,479
117.0,1497.0,2016,2016,3,17.8,7,9,585
81.0,1197.0,2012,2012,3,18.6,65,10,276
118.0,998.0,2021,2021,3,20.28,48,10,922
156.0,1999.0,2024,2024,3,14.2,66,10,22
84.0,1199.0,2023,2023,3,20.09,107,26,632
68.0,1197.0,2022,2022,0,24.0,11,10,675
88.0,1199.0,2017,2017,3,19.0,152,9,485
88.0,1396.0,2019,2019,0,23.7,54,10,890
281.0,2925.0,2019,2019,0,18.9,72,19,89
55.0,998.0,2023,2023,0,34.05,151,18,640
126.0,1582.0,2012,2012,0,22.32,59,10,421
261.0,2993.0,2018,2018,0,18.9,7,2,3625
81.0,1197.0,2018,2018,3,18.9,40,10,468
241.0,1950.0,2023,2023,0,18.9,52,19,9495
58.0,998.0,2017,2017,0,26.6,110,18,360
81.0,1197.0,2020,2020,3,18.9,40,10,565
103.0,1462.0,2017,2017,3,18.55,177,18,674
88.0,1396.0,2015,2015,0,22.54,40,10,531
362.0,2925.0,2024,2024,0,12.0,7,19,137
140.0,2179.0,2015,2015,0,16.0,59,17,635
138.0,1353.0,2022,2022,3,16.5,7,13,1615
108.0,1497.0,2018,2018,0,21.5,140,26,810
83.0,1199.0,2018,2018,3,23.84,62,26,495
88.0,2494.0,2008,2008,0,18.9,139,27,290
82.0,1197.0,2015,2015,3,19.1,84,10,4
67.0,998.0,2015,2016,3,20.51,151,18,366
88.0,1199.0,2019,2019,3,18.2,177,9,699
71.0,999.0,2023,2023,3,19.03,151,24,875
88.0,1199.0,2016,2016,3,18.7,125,9,470
281.0,2925.0,2022,2022,0,18.9,27,19,68
167.0,1956.0,2023,2023,0,14.6,7,26,1975
117.0,1497.0,2017,2018,3,18.0,2,9,799
88.0,1199.0,2017,2017,3,17.5,53,9,5
113.0,1497.0,2021,2021,3,16.8,48,13,1352
91.0,1373.0,2015,2015,3,20.73,151,18,549
121.0,1591.0,2019,2020,3,14.8,60,10,1175
184.0,1991.0,2014,2014,3,18.9,72,19,13
147.0,1498.0,2020,2020,3,18.4,70,28,1745
83.0,1197.0,2013,2013,3,20.85,48,18,368
160.0,1368.0,2019,2019,3,16.0,62,12,1095
118.0,998.0,2019,2019,3,18.15,7,10,925
197.0,1991.0,2020,2020,3,18.9,89,19,4375
97.0,1498.0,2014,2014,3,16.95,7,22,275
245.0,1999.0,2020,2020,0,18.9,70,14,4875
88.0,1199.0,2018,2018,3,17.5,27,9,699
750.0,1248.0,2022,2022,1,18.9,137,19,89
67.0,999.0,2018,2018,3,24.04,99,24,307
65.0,998.0,2023,2023,3,24.39,177,18,512
81.0,1197.0,2014,2014,3,18.9,107,10,377
118.0,1199.0,2021,2021,3,17.05,99,26,853
82.0,1197.0,2023,2023,3,18.0,99,10,675
300.0,1969.0,2024,2024,3,18.9,52,29,8975
140.0,2179.0,2017,2017,0,16.0,177,17,949
108.0,1498.0,2022,2022,3,14.85,107,16,1519
141.0,1968.0,2018,2018,0,21.0,125,25,990
93.0,1498.0,2019,2019,0,24.2,169,18,12
103.0,1598.0,2019,2019,3,14.4,48,28,746
84.0,1199.0,2021,2021,3,20.3,65,26,581
82.0,1198.0,2016,2016,3,18.15,65,17,382
68.0,1197.0,2021,2021,0,24.0,110,10,577
118.0,998.0,2021,2021,3,18.0,52,10,995
103.0,1462.0,2021,2021,3,18.55,177,18,749
108.0,1497.0,2020,2020,0,21.5,7,26,755
58.0,998.0,2016,2016,0,26.6,40,18,385
147.0,1395.0,2018,2019,3,18.9,52,1,2750
117.0,1497.0,2015,2015,3,17.4,99,9,380
103.0,1462.0,2023,2023,3,16.39,89,18,1450
81.0,1197.0,2016,2016,3,20.52,65,18,393
174.0,2755.0,2018,2018,0,15.04,151,27,2951
254.0,1998.0,2018,2018,3,18.9,8,2,3750
82.0,1197.0,2015,2015,3,18.9,65,10,348
118.0,998.0,2019,2019,3,18.15,62,10,945
188.0,1995.0,2017,2017,0,18.9,8,2,2050
81.0,1197.0,2017,2017,3,17.19,135,10,610
81.0,1197.0,2020,2020,3,19.56,177,18,785
121.0,1591.0,2014,2014,3,17.01,65,10,392
81.0,1197.0,2015,2015,3,18.9,177,10,344
254.0,2993.0,2018,2018,0,18.9,47,14,128
81.0,1197.0,2021,2021,3,21.01,65,27,776
103.0,1598.0,2016,2016,3,16.09,27,28,550
141.0,1451.0,2021,2021,3,9.0,27,16,1375
110.0,1499.0,2014,2014,3,15.8,107,8,395
248.0,1998.0,2020,2020,3,18.9,61,2,5835
113.0,999.0,2021,2021,3,17.2,168,25,1425
201.0,2755.0,2023,2023,0,12.0,11,27,4249
81.0,1197.0,2020,2020,3,21.21,138,18,699
83.0,1199.0,2019,2019,3,23.84,177,26,465
101.0,1462.0,2022,2022,3,19.89,107,18,1096
67.0,998.0,2019,2019,3,21.63,48,18,437
98.0,999.0,2022,2022,3,17.4,98,22,775
70.0,1196.0,2013,2013,3,15.6,27,8,299
88.0,1197.0,2014,2014,3,22.41,65,18,385
67.0,998.0,2022,2022,3,21.79,177,18,565
116.0,1497.0,2016,2016,3,16.8,48,9,465
108.0,1498.0,2022,2023,3,15.43,177,16,1085
55.0,998.0,2021,2021,0,32.73,177,18,476
118.0,998.0,2020,2020,3,18.3,27,13,1095
81.0,1197.0,2021,2021,3,20.89,54,18,575
325.0,2925.0,2021,2021,0,18.9,72,19,104
86.0,1199.0,2020,2020,3,19.33,48,26,632
88.0,1496.0,2011,2011,3,16.78,107,27,279
117.0,1497.0,2014,2014,3,17.8,32,9,449
82.0,1197.0,2021,2022,3,20.36,177,10,1069
113.0,1493.0,2022,2022,0,18.9,27,13,1290
55.0,998.0,2022,2022,0,34.05,177,18,580
58.0,998.0,2020,2020,0,18.9,110,18,4
81.0,1197.0,2018,2018,3,20.89,177,18,514
113.0,1497.0,2020,2020,3,16.8,7,13,971
78.0,1197.0,2014,2014,3,17.71,65,27,325
86.0,1198.0,2016,2016,3,18.0,86,9,375
138.0,1798.0,2010,2010,3,14.53,95,27,275
81.0,1197.0,2013,2013,3,18.9,65,10,330
67.0,998.0,2017,2017,3,23.95,65,18,312
81.0,1197.0,2015,2015,3,17.19,27,10,475
84.0,1199.0,2021,2021,3,20.09,48,26,608
147.0,1999.0,2016,2016,0,18.9,47,14,2399
187.0,1984.0,2020,2020,3,17.01,110,28,27
81.0,1197.0,2020,2020,3,18.9,107,10,549
191.0,1950.0,2018,2018,0,18.9,8,19,3150
108.0,1497.0,2018,2018,0,21.19,48,26,731
67.0,999.0,2017,2018,3,24.04,65,24,257
88.0,1197.0,2021,2021,3,22.41,27,18,749
126.0,1582.0,2019,2019,0,17.01,21,10,1295
113.0,1497.0,2021,2021,3,16.8,48,13,997
53.0,799.0,2019,2019,3,25.17,99,24,310
71.0,999.0,2022,2022,3,18.2,151,24,650
103.0,1462.0,2018,2018,3,20.04,177,18,651
177.0,1999.0,2018,2018,0,16.38,8,11,3550
160.0,1368.0,2018,2018,3,14.1,48,12,1212
190.0,2151.0,2024,2024,0,18.9,27,13,7650
136.0,2143.0,2014,2014,0,18.9,11,19,1450
74.0,1248.0,2018,2018,0,27.39,48,18,568
130.0,2184.0,2023,2023,0,9.0,11,17,1757
67.0,998.0,2016,2016,3,20.51,110,18,340
141.0,1451.0,2023,2023,3,9.0,93,16,1975
245.0,1999.0,2021,2021,0,18.9,70,14,4690
118.0,998.0,2020,2020,3,18.0,177,10,784
121.0,1591.0,2016,2016,3,13.0,21,10,750
126.0,1582.0,2017,2017,0,20.5,65,10,852
88.0,1248.0,2019,2019,0,18.9,40,18,773
58.0,998.0,2021,2021,0,18.9,177,18,459
117.0,1497.0,2016,2016,3,17.8,8,9,565
88.0,1197.0,2022,2022,3,24.43,6,18,640
248.0,1998.0,2022,2022,3,13.17,72,2,66
99.0,1498.0,2014,2014,3,17.97,7,22,351
270.0,2993.0,2012,2012,0,18.9,63,11,899
113.0,1493.0,2019,2019,0,18.0,164,13,1350
91.0,1373.0,2015,2015,3,20.73,65,18,498
74.0,1493.0,2020,2020,0,16.0,177,17,899
84.0,1199.0,2017,2017,3,23.84,168,26,350
88.0,1199.0,2017,2017,3,18.2,151,9,540
86.0,1198.0,2014,2014,3,15.5,12,9,350
88.0,1199.0,2016,2016,3,18.1,47,9,485
88.0,1199.0,2019,2019,3,18.2,7,9,625
67.0,999.0,2017,2017,3,24.04,7,24,325
103.0,1462.0,2022,2022,3,18.43,169,18,995
88.0,1248.0,2019,2019,0,18.9,107,18,711
117.0,1497.0,2016,2016,3,18.0,2,9,599
71.0,999.0,2021,2021,3,18.2,177,24,569
153.0,1997.0,2015,2015,3,13.7,8,9,725
197.0,2199.0,2021,2021,0,18.9,7,13,2245
121.0,1591.0,2012,2012,3,17.01,177,10,381
110.0,1499.0,2014,2014,3,15.8,2,8,499
184.0,1991.0,2016,2016,3,18.9,7,19,3275
81.0,1197.0,2022,2022,3,18.9,48,10,729
141.0,1451.0,2023,2023,3,12.34,66,16,1995
184.0,2696.0,2013,2013,0,11.18,7,17,545
118.0,998.0,2020,2020,3,18.15,47,10,999
88.0,1199.0,2019,2019,3,18.2,27,9,685
160.0,1368.0,2017,2018,3,16.0,177,12,1095
86.0,1198.0,2013,2013,3,17.8,65,9,311
62.0,1086.0,2012,2012,3,17.92,11,10,165
88.0,1197.0,2014,2014,3,22.41,53,18,332
81.0,1197.0,2015,2015,3,18.6,136,10,495
75.0,999.0,2016,2016,3,19.44,107,28,412
113.0,1493.0,2021,2021,0,20.8,8,13,1350
153.0,1997.0,2016,2016,3,13.7,7,9,845
235.0,1969.0,2018,2018,0,17.2,7,29,4875
74.0,1248.0,2016,2016,0,27.39,48,18,568
117.0,1497.0,2019,2019,3,18.0,27,9,875
88.0,1199.0,2017,2017,3,17.5,47,9,695
93.0,1373.0,2014,2014,3,16.02,107,18,505
81.0,1197.0,2017,2017,3,18.9,107,10,422
103.0,1498.0,2015,2015,0,21.14,8,25,475
83.0,1197.0,2017,2017,3,21.4,149,18,540
88.0,1248.0,2016,2016,0,24.3,84,18,735
47.0,796.0,2017,2017,3,24.7,48,18,268
65.0,998.0,2014,2014,3,26.68,99,18,272
108.0,1497.0,2019,2019,0,22.07,107,26,781
82.0,1197.0,2016,2016,3,18.9,151,10,375
138.0,1798.0,2015,2015,3,14.28,135,27,625
82.0,1197.0,2015,2015,3,18.9,138,10,479
78.0,1197.0,2014,2014,3,17.71,65,27,274
118.0,998.0,2021,2021,3,18.3,54,13,1090
83.0,1197.0,2017,2017,3,21.4,27,18,549
119.0,1498.0,2014,2014,3,18.6,48,9,559
103.0,1598.0,2017,2017,3,15.41,99,25,453
103.0,1462.0,2021,2021,3,18.43,48,18,878
59.0,1086.0,2021,2021,0,30.48,53,10,424
67.0,998.0,2022,2022,3,21.7,47,18,490
160.0,1368.0,2019,2019,3,16.0,177,12,1285
84.0,1199.0,2017,2017,3,20.3,177,26,489
140.0,2179.0,2015,2015,0,16.0,59,17,635
83.0,1197.0,2018,2018,3,21.4,48,18,502
81.0,1197.0,2018,2018,3,17.4,60,10,575
81.0,1197.0,2017,2017,3,20.89,107,18,452
113.0,1497.0,2020,2020,3,16.8,177,13,979
67.0,998.0,2015,2015,3,23.95,48,18,239
121.0,1591.0,2018,2018,3,13.0,89,10,875
86.0,1462.0,2022,2022,0,18.9,93,18,1150
127.0,1248.0,2022,2022,1,18.9,89,26,950
72.0,999.0,2019,2020,3,20.0,177,24,595
117.0,1497.0,2015,2015,3,18.0,11,9,575
82.0,1197.0,2014,2014,3,18.9,156,10,350
103.0,1498.0,2012,2014,0,20.34,177,28,375
67.0,999.0,2018,2018,3,24.04,65,24,315
113.0,999.0,2023,2023,3,20.32,11,25,1380
67.0,999.0,2020,2020,3,21.74,177,24,445
81.0,1197.0,2019,2019,3,18.9,48,10,487
63.0,1461.0,2015,2015,0,23.08,47,24,299
119.0,1498.0,2015,2015,3,18.6,48,9,608
81.0,1197.0,2016,2016,3,18.6,151,10,499
83.0,1197.0,2017,2018,3,21.4,109,18,5
113.0,1497.0,2020,2020,3,14.0,27,10,1475
67.0,999.0,2021,2021,3,21.74,107,24,478
81.0,1197.0,2015,2015,3,18.6,135,10,425
84.0,1199.0,2016,2016,3,23.84,65,26,371
91.0,1373.0,2017,2017,3,20.73,151,18,575
83.0,1197.0,2015,2015,3,20.85,95,18,445
81.0,1197.0,2022,2022,3,20.52,40,18,584
86.0,1199.0,2021,2021,3,19.33,65,26,597
167.0,1956.0,2023,2023,0,14.6,54,26,2195
118.0,998.0,2022,2022,3,18.2,7,13,1175
85.0,1197.0,2018,2018,3,18.6,107,18,549
81.0,1197.0,2023,2023,3,18.9,65,10,742
81.0,1197.0,2017,2018,3,18.9,65,10,455
74.0,1248.0,2017,2017,0,27.39,107,18,548
58.0,998.0,2022,2022,0,32.52,151,18,610
58.0,998.0,2018,2018,0,26.6,177,18,390
300.0,1969.0,2024,2024,3,18.9,70,29,8975
81.0,1197.0,2021,2021,3,21.21,65,18,681
81.0,1197.0,2021,2021,3,21.0,151,10,785
67.0,998.0,2018,2018,3,23.1,173,18,380
148.0,2393.0,2020,2020,0,18.9,54,27,1975
67.0,1198.0,2017,2017,3,19.49,47,22,299
72.0,999.0,2019,2019,3,20.0,177,24,585
88.0,1199.0,2023,2023,3,18.3,52,9,875
118.0,998.0,2019,2020,3,18.15,66,10,885
254.0,1998.0,2022,2022,3,15.3,99,2,43
118.0,998.0,2022,2022,3,18.0,40,10,925
191.0,1950.0,2019,2019,0,18.9,8,19,36
167.0,1956.0,2023,2023,0,13.0,177,16,1835
81.0,1197.0,2019,2019,3,21.21,99,18,527
73.0,1248.0,2021,2021,1,18.9,27,26,885
72.0,1199.0,2023,2023,0,26.49,101,26,730
108.0,1497.0,2019,2019,0,22.07,48,26,792
117.0,1497.0,2015,2015,3,18.0,47,9,585
130.0,2184.0,2023,2023,0,9.0,27,17,1549
86.0,1199.0,2022,2022,3,20.09,107,26,679
114.0,1493.0,2023,2023,0,18.9,52,13,1989
156.0,1999.0,2022,2022,3,14.2,99,10,15
65.0,998.0,2021,2021,3,24.76,107,18,480
141.0,1451.0,2022,2022,3,9.0,99,16,15
113.0,1497.0,2022,2022,3,14.0,32,10,1695
83.0,1197.0,2017,2017,3,21.4,151,18,550
83.0,1197.0,2013,2013,3,20.85,65,18,364
113.0,1497.0,2019,2019,3,16.8,32,13,1060
103.0,1598.0,2013,2014,3,15.0,2,25,375
88.0,1199.0,2018,2018,3,19.0,99,9,580
67.0,999.0,2023,2024,3,24.04,40,24,474
81.0,1197.0,2015,2015,3,18.9,48,10,333
73.0,1186.0,2020,2020,0,25.4,107,10,668
187.0,1995.0,2019,2019,0,18.9,27,2,3899
300.0,1969.0,2024,2024,3,18.9,7,29,8975
84.0,1199.0,2022,2023,3,20.09,177,26,635
98.0,1493.0,2020,2020,0,18.9,140,13,1225
141.0,1451.0,2023,2023,3,12.34,6,16,2050
83.0,1197.0,2018,2018,3,21.4,67,18,575
117.0,1497.0,2017,2017,3,18.0,110,9,571
160.0,1368.0,2022,2022,3,14.1,7,12,1850
53.0,799.0,2022,2022,3,25.17,40,24,404
65.0,998.0,2017,2017,3,25.24,99,18,370
81.0,1197.0,2019,2019,3,21.21,66,18,565
118.0,998.0,2020,2020,3,18.27,107,10,877
91.0,1462.0,2015,2015,0,26.08,8,18,646
67.0,998.0,2016,2016,3,23.95,98,18,280
143.0,1968.0,2019,2019,0,20.38,89,1,2175
91.0,1373.0,2015,2015,3,20.73,99,18,432
81.0,1197.0,2017,2017,3,17.19,99,10,450
88.0,1997.0,2020,2020,3,18.9,7,14,4650
110.0,1499.0,2016,2016,3,15.63,177,8,521
81.0,1197.0,2019,2019,3,18.6,177,10,532
184.0,1995.0,2018,2018,0,18.9,8,2,2199
86.0,1462.0,2022,2022,0,26.11,151,18,1075
81.0,1197.0,2020,2020,3,21.21,59,18,555
67.0,999.0,2020,2020,3,21.74,107,24,419
167.0,2143.0,2018,2018,0,18.9,27,19,3649
119.0,1498.0,2022,2022,3,18.3,177,9,1289
108.0,1461.0,2013,2013,0,19.01,66,24,369
178.0,1798.0,2018,2018,3,15.1,137,25,15
118.0,998.0,2020,2020,3,18.15,107,10,759
86.0,1198.0,2022,2022,3,17.8,107,9,842
110.0,1499.0,2015,2015,3,15.8,65,8,375
118.0,998.0,2019,2019,3,18.15,7,10,891
246.0,1997.0,2019,2019,3,18.9,70,14,6275
84.0,1199.0,2021,2021,3,23.84,40,26,497
245.0,1999.0,2020,2020,0,18.9,7,14,4875
86.0,1199.0,2023,2023,3,18.8,177,26,890
86.0,1199.0,2023,2023,3,18.5,169,26,825
81.0,1197.0,2014,2014,3,18.6,40,10,429
201.0,2143.0,2017,2017,0,17.9,99,19,36
88.0,1248.0,2014,2014,3,18.9,177,10,383
116.0,1497.0,2013,2013,3,16.8,30,9,321
67.0,999.0,2018,2018,3,21.74,48,24,348
91.0,1490.0,2022,2022,3,27.97,27,18,1675
41.0,1248.0,2023,2023,1,18.9,7,16,685
160.0,1368.0,2019,2019,3,16.0,139,12,1149
113.0,999.0,2021,2021,3,19.2,70,25,1290
81.0,1197.0,2015,2015,3,18.9,65,10,382
157.0,2494.0,2015,2015,3,19.16,27,27,1190
58.0,998.0,2022,2022,0,30.47,65,18,568
116.0,1497.0,2014,2014,3,16.8,40,9,411
88.0,1199.0,2018,2018,3,18.2,177,9,625
88.0,1199.0,2017,2017,3,17.5,12,9,570
81.0,1197.0,2019,2019,3,18.9,107,10,555
335.0,2998.0,2021,2021,3,18.9,70,2,8250
81.0,1197.0,2013,2013,3,18.6,48,10,327
86.0,1198.0,2015,2015,3,19.4,40,9,292
68.0,1197.0,2023,2023,0,18.9,173,10,8
103.0,1462.0,2022,2022,3,18.43,169,18,995
58.0,998.0,2021,2021,0,32.52,177,18,525
82.0,1197.0,2024,2024,3,20.36,93,10,975
58.0,998.0,2022,2022,0,18.9,48,18,512
117.0,1497.0,2016,2016,3,15.4,54,9,725
81.0,1197.0,2012,2012,3,21.21,48,18,352
168.0,1956.0,2024,2024,0,8.2,52,12,2995
88.0,1498.0,2013,2013,0,20.14,48,28,275
121.0,1591.0,2017,2017,3,13.0,11,10,875
104.0,1498.0,2018,2018,3,14.99,7,24,595
65.0,998.0,2022,2022,3,24.76,107,18,447
81.0,1197.0,2017,2017,3,18.9,65,10,393
183.0,1991.0,2017,2017,3,18.9,89,19,1675
91.0,1373.0,2017,2017,3,20.73,151,18,525
68.0,1197.0,2022,2022,0,28.0,151,10,750
82.0,1197.0,2015,2015,3,18.9,110,10,346
88.0,1248.0,2016,2016,0,28.09,177,18,625
84.0,1199.0,2019,2019,3,23.84,177,26,444
241.0,1950.0,2021,2021,0,18.9,99,19,75
67.0,999.0,2019,2019,3,23.01,177,24,338
81.0,1197.0,2021,2021,3,18.9,48,10,629
71.0,999.0,2022,2022,3,20.0,84,24,665
103.0,1586.0,2011,2012,3,15.5,71,18,225
84.0,1199.0,2017,2017,3,23.84,151,26,449
113.0,999.0,2022,2022,3,17.2,140,25,1355
81.0,1197.0,2016,2016,3,18.9,65,10,424
336.0,4367.0,2015,2015,0,18.9,47,14,84
118.0,998.0,2019,2019,3,18.27,66,10,785
117.0,1497.0,2015,2015,3,18.0,65,9,404
118.0,998.0,2021,2021,3,18.27,89,10,830
58.0,998.0,2014,2014,0,26.6,177,18,305
74.0,1248.0,2017,2017,0,27.39,65,18,518
98.0,1498.0,2014,2014,0,24.2,64,9,525
167.0,1956.0,2021,2021,0,14.9,52,12,2045
118.0,998.0,2020,2020,3,18.15,177,10,833
136.0,2143.0,2015,2015,0,18.9,7,19,945
127.0,1248.0,2021,2021,1,18.9,7,26,975
88.0,1197.0,2011,2011,3,18.5,11,10,225
78.0,1197.0,2012,2012,3,20.36,140,10,265
118.0,1199.0,2022,2022,3,16.35,151,26,990
203.0,2143.0,2012,2012,0,18.9,60,19,750
117.0,1497.0,2016,2016,3,18.0,12,9,575
71.0,999.0,2022,2022,3,19.17,89,24,675
83.0,1197.0,2018,2018,3,21.4,99,18,564
190.0,1995.0,2017,2017,0,18.9,61,2,2045
160.0,1368.0,2019,2019,3,16.0,27,12,1340
67.0,998.0,2016,2016,3,20.51,27,18,331
82.0,1197.0,2022,2022,3,20.36,48,10,1069
74.0,1248.0,2024,2024,0,27.39,40,18,964
81.0,1197.0,2014,2014,3,18.6,99,10,320
85.0,1197.0,2012,2013,3,19.1,2,18,375
88.0,1199.0,2016,2017,3,19.0,27,9,590
113.0,1493.0,2019,2019,0,17.8,33,13,1150
241.0,1984.0,2021,2021,3,14.11,157,1,3990
88.0,1199.0,2017,2017,3,19.0,161,9,577
83.0,1461.0,2018,2019,0,19.87,157,24,699
47.0,796.0,2020,2020,3,22.05,46,18,335
88.0,1950.0,2021,2021,0,18.9,119,19,62
88.0,1197.0,2012,2012,3,17.0,155,10,288
74.0,1248.0,2014,2014,0,22.9,77,18,480
224.0,2987.0,2012,2012,0,18.9,157,19,1950
119.0,1498.0,2020,2020,3,18.6,161,9,920
88.0,1061.0,2011,2011,3,19.5,161,18,2
83.0,1197.0,2016,2016,3,21.4,161,18,540
62.0,1086.0,2010,2010,3,17.92,33,10,180
636.0,1248.0,2022,2018,1,18.9,91,1,129
188.0,1995.0,2016,2017,0,18.9,157,2,2350
53.0,799.0,2015,2017,3,25.17,155,24,266
65.0,998.0,2019,2019,3,26.0,161,18,514
117.0,1497.0,2017,2017,3,18.0,157,9,8
113.0,1493.0,2022,2022,0,18.0,9,10,1530
82.0,1197.0,2024,2024,3,17.0,33,10,860
168.0,1956.0,2021,2021,0,17.1,157,12,21
187.0,1995.0,2021,2021,0,19.62,157,2,32
93.0,2489.0,2014,2014,0,14.95,161,17,450
47.0,796.0,2021,2021,3,22.05,33,18,365
170.0,2143.0,2012,2013,0,18.9,46,19,13
152.0,1999.0,2017,2017,3,13.03,76,10,1390
81.0,1197.0,2017,2017,3,18.9,161,10,450
81.0,1197.0,2014,2014,3,18.6,37,10,380
167.0,1956.0,2022,2022,0,17.1,33,12,2050
190.0,1995.0,2016,2016,0,18.9,76,2,1350
189.0,1998.0,2023,2023,3,14.34,103,20,38
174.0,1984.0,2019,2020,0,18.19,76,25,2590
67.0,999.0,2023,2023,3,22.3,155,24,553
81.0,1197.0,2022,2022,3,20.89,37,18,532
67.0,999.0,2022,2022,3,22.3,161,24,481
147.0,1968.0,2017,2017,0,18.9,76,1,24
138.0,1353.0,2019,2019,3,16.1,46,13,874
118.0,998.0,2019,2019,3,18.15,46,10,750
103.0,1598.0,2019,2019,3,16.09,46,28,725
88.0,2987.0,2009,2009,0,13.0,76,19,1250
65.0,998.0,2020,2020,3,21.7,37,18,365
103.0,1462.0,2021,2021,3,18.76,46,18,792
118.0,998.0,2020,2020,3,18.27,46,10,715
88.0,1197.0,2014,2014,3,18.9,37,10,331
47.0,796.0,2018,2018,3,24.7,3,18,332
150.0,1997.0,2021,2021,3,8.0,33,17,13
118.0,998.0,2021,2021,3,20.0,161,10,727
62.0,1086.0,2009,2009,3,17.92,161,10,195
81.0,1197.0,2018,2018,3,17.19,155,10,529
88.0,814.0,2018,2018,3,22.0,161,10,347
67.0,998.0,2017,2017,3,23.1,155,18,410
83.0,1197.0,2018,2018,3,21.4,155,18,539
65.0,998.0,2021,2021,3,24.76,155,18,460
203.0,2497.0,2005,2005,3,18.9,33,19,350
103.0,1598.0,2019,2019,3,16.09,33,28,950
67.0,998.0,2011,2011,3,19.0,37,18,170
121.0,1591.0,2019,2019,3,15.8,155,10,727
74.0,1248.0,2020,2020,0,27.39,161,18,659
88.0,796.0,2013,2014,3,18.9,161,18,259
183.0,1987.0,2023,2024,3,18.9,157,27,3750
113.0,1497.0,2020,2020,3,16.8,157,13,1140
67.0,999.0,2021,2021,3,21.74,155,24,387
98.0,1498.0,2015,2015,0,24.7,155,9,510
116.0,1497.0,2014,2014,3,16.8,3,9,526
75.0,999.0,2019,2020,3,17.74,155,28,493
138.0,1353.0,2019,2019,3,16.5,157,13,1150
91.0,1373.0,2015,2015,3,20.73,155,18,510
74.0,1248.0,2013,2014,0,23.4,155,18,475
197.0,3198.0,2016,2016,0,14.2,157,8,1850
86.0,1198.0,2015,2015,3,19.4,155,9,360
121.0,1591.0,2016,2016,3,14.8,157,10,840
167.0,1956.0,2019,2019,0,17.41,114,16,1650
113.0,1493.0,2020,2020,0,18.9,76,13,1250
65.0,998.0,2022,2022,3,24.39,155,18,438
105.0,1396.0,2017,2017,3,17.43,123,10,570
67.0,998.0,2016,2017,3,20.51,46,18,435
130.0,1799.0,2007,2007,3,13.5,155,9,375
62.0,1086.0,2010,2010,3,17.92,161,10,190
88.0,1197.0,2022,2022,3,22.38,78,18,699
113.0,1493.0,2022,2022,0,18.0,157,10,1535
88.0,1199.0,2018,2018,3,18.7,46,9,497
88.0,1396.0,2019,2019,0,23.7,155,10,835
67.0,998.0,2018,2018,3,20.51,155,18,379
98.0,1498.0,2014,2014,0,24.7,82,9,370
167.0,1956.0,2022,2022,0,17.1,33,12,22
81.0,1197.0,2017,2017,3,20.89,33,18,460
78.0,1197.0,2009,2009,3,20.36,33,10,208
82.0,1197.0,2015,2015,3,18.9,155,10,378
121.0,1591.0,2017,2017,3,15.29,157,10,12
150.0,1997.0,2021,2021,3,15.2,161,17,1450
113.0,1493.0,2020,2020,0,18.0,157,10,1150
81.0,1197.0,2019,2020,3,20.14,3,10,560
81.0,1197.0,2018,2018,3,21.21,37,18,525
163.0,1998.0,2017,2017,0,17.9,33,3,750
84.0,1199.0,2023,2023,3,20.09,155,26,590
147.0,1498.0,2022,2022,3,18.67,157,28,16
187.0,1998.0,2021,2021,3,18.9,157,1,2450
194.0,1950.0,2020,2020,0,18.9,33,19,33
168.0,1956.0,2022,2022,0,17.1,157,12,2250
67.0,999.0,2018,2018,3,23.01,155,24,350
81.0,1197.0,2016,2016,3,20.52,161,18,426
88.0,1498.0,2013,2013,0,20.14,161,28,337
71.0,999.0,2019,2020,3,20.0,155,24,478
82.0,1197.0,2016,2016,3,18.9,155,10,465
74.0,1199.0,2016,2016,3,16.2,155,28,460
82.0,1197.0,2023,2023,3,20.36,82,10,1050
103.0,1462.0,2022,2022,3,19.01,9,18,971
88.0,1197.0,2021,2021,3,22.61,33,18,7
115.0,1497.0,2022,2022,0,20.0,91,17,1190
81.0,1197.0,2017,2017,3,18.6,46,10,536
321.0,1248.0,2022,2022,1,18.9,76,2,8590
248.0,1984.0,2017,2017,3,13.55,117,1,4390
147.0,2393.0,2023,2023,0,18.9,157,27,2750
67.0,999.0,2022,2023,3,22.3,46,24,478
81.0,1197.0,2018,2018,3,18.9,155,10,462
181.0,1968.0,2019,2019,0,18.9,117,1,2090
81.0,1197.0,2017,2017,3,18.9,155,10,421
46.0,796.0,2022,2022,3,19.7,3,18,374
113.0,1493.0,2020,2020,0,17.8,46,13,1205
190.0,1995.0,2018,2019,0,18.9,76,2,30
67.0,999.0,2023,2023,3,21.46,161,24,467
98.0,1493.0,2022,2022,0,25.0,157,10,855
117.0,1497.0,2019,2019,3,18.0,155,9,839
88.0,1497.0,2023,2023,3,18.9,157,10,1450
86.0,1199.0,2022,2022,3,18.5,155,26,7
121.0,1591.0,2016,2016,3,13.0,33,10,650
174.0,1968.0,2015,2015,0,17.11,76,1,1650
81.0,1197.0,2020,2020,3,20.1,161,10,650
76.0,1197.0,2023,2023,0,31.12,9,18,8
78.0,1197.0,2011,2011,3,16.95,3,10,280
107.0,2143.0,2013,2013,0,18.9,9,19,990
